timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672734,3.13778,9.79475,74.6099,1090,-750,262670,0.000932843,0.00291193,-500,74,-2,1,-500,400,2098
672745,3.1453,9.7881,74.6298,1070,-750,263100,0.624292,0.0171283,-500,78,-4,3,-500,400,2099
672762,3.3617,10.0017,74.6947,1140,-670,263660,6.75703,6.88128,-500,85,-4,6,-500,400,2099
672768,3.35812,9.98942,74.7064,1180,-700,263940,-0.119228,-0.410559,-500,81,-6,7,-500,400,2100
672779,3.39061,9.96317,74.6732,1190,-670,264150,1.47341,-2.2811,-500,74,-6,9,-500,400,2100
672790,3.16773,9.80333,74.6584,1180,-710,264290,-8.40902,-7.41405,-500,72,-7,11,-500,400,2100
672806,3.37244,9.99271,74.6975,1090,-770,264470,0.0538042,0.23086,-500,71,-6,14,-500,400,2100
672817,3.37332,10.0147,74.7552,1080,-760,264580,0.128675,1.22697,-500,62,-9,16,-500,400,2100
672828,3.34698,9.97177,74.6992,1080,-780,264680,0.376995,-0.386531,-500,69,-2,18,-500,400,2098
672839,3.35834,9.97885,74.6815,1020,-780,264780,0.213768,-1.12346,-500,78,3,20,-500,400,2092
672851,3.11602,9.76373,74.6192,1020,-780,264860,-7.35061,-7.64306,-500,88,8,21,-500,400,2087
672883,3.36923,9.97994,74.7154,980,-750,264570,5.57778,6.95669,-500,114,18,24,-500,400,2077
672889,3.37239,9.97393,74.7086,980,-760,264470,0.105294,-0.20011,-500,116,18,25,-500,400,2077
672900,3.36546,10.0101,74.6885,1000,-710,264370,1.07587,1.01171,-500,120,20,27,-500,400,2075
672923,3.37186,10.0027,74.6822,900,-780,264160,0.259579,0.724474,-500,108,18,30,-500,400,2077
672934,3.13862,9.78374,74.604,890,-760,264060,-8.83261,-8.58787,-500,109,18,32,-500,400,2077
672934,3.13862,9.78374,74.604,800,-760,254120,-8.83261,-8.58787,-500,7,-5,32,-500,400,2099
672950,3.58474,10.0878,74.6968,850,-760,249980,16.7368,12.1281,-500,15,-17,34,-500,400,2100
672961,3.23158,9.94142,74.6085,870,-830,249070,-2.50038,-5.64776,-500,10,-35,36,-500,400,2100
672972,3.46813,10.0185,75.216,880,-860,249150,2.85006,-3.3779,-500,28,-44,38,-500,400,2100
672984,3.5053,10.5657,75.7131,920,-840,249170,10.7595,17.904,-500,11,-71,39,-500,400,2100
672995,3.23525,10.2911,74.6345,990,-890,249300,-7.5047,4.95359,-500,-28,-111,41,-500,400,2100
673005,3.1453,10.0484,74.6195,1000,-920,249390,5.76828,-8.37743,-500,-41,-134,43,-500,400,2100
673011,3.22293,10.2871,74.7094,1010,-880,249530,2.58754,7.95863,-500,-56,-159,44,-500,400,2100
673022,3.09295,10.2395,74.7585,1140,-890,249620,-1.73681,21.2368,-500,-66,-180,46,-500,400,2100
673033,3.1497,10.2046,74.8268,4520,1700,249550,-18.6992,-14.2741,-500,-35,30,48,-500,400,2075
673066,-5.70703,3.31946,244.475,6410,6420,255520,-166.341,-108.229,-500,239,810,52,-500,333,1600
