timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120469,243.026,-385.325,88.5326,0.293934,-1.07159,-0.0726124,0.161837,0,0,800,0,101,-388.842,616.519,0
1120489,243.038,-385.298,88.5083,0.775515,0.493537,1.05484,0.162107,0,0,800,0,101,-388.86,616.477,0
1120509,243.026,-385.319,88.529,-0.481034,0.0177916,-0.36507,0.162139,0,0,800,0,101,-388.842,616.51,0
1120533,243.017,-385.317,88.527,0.840381,0.236279,-3.20285,0.162121,0,0,800,0,101,-388.8,616.515,0
1120553,243.023,-385.318,88.5264,-0.418056,0.57472,-0.667065,0.161964,0,0,800,0,101,-388.85,616.527,0
1120573,243.04,-385.315,88.5194,1.00921,-0.502186,-0.48736,0.161638,0,0,800,0,101,-388.832,616.489,0
1120653,243.038,-385.331,88.514,-0.731196,-0.328238,-0.719814,0.162242,0,0,800,0,101,-388.861,616.53,0
1120673,243.008,-385.297,88.5197,-0.530912,0.01774,1.04858,0.162074,0,0,800,0,101,-388.812,616.475,0
1120693,243.008,-385.302,88.5143,0.192189,0.511814,-1.81395,0.161881,0,0,800,0,101,-388.813,616.483,0
1120713,243.017,-385.312,88.5294,-0.254748,-1.13839,0.0333142,0.161932,0,0,800,0,101,-388.827,616.499,0
1120737,243.014,-385.308,88.5562,-0.994271,0.145507,2.39408,0.161969,0,0,800,0,101,-388.854,616.497,0
1120757,243.005,-385.307,88.527,-0.505491,-0.397731,1.55566,0.161776,0,0,800,0,101,-388.824,616.478,0
1120776,243.013,-385.314,88.5325,-0.89697,1.16433,-1.79035,0.161529,0,0,800,0,101,-388.82,616.502,0
1120857,243.047,-385.314,88.5221,1.37361,-1.31619,0.350612,0.161877,0,0,800,0,101,-388.875,616.502,0
1120877,243.036,-385.304,88.5186,0.646761,0.205504,-0.53022,0.161771,0,0,800,0,101,-388.857,616.487,0
1120897,243.027,-385.299,88.5209,-0.666507,0.387069,0.826605,0.161694,0,0,800,0,101,-388.843,616.478,0
1120921,243.026,-385.334,88.5524,1.04096,-2.42036,1.46501,0.162374,0,0,800,0,101,-388.808,616.456,0
1120941,243.029,-385.295,88.5127,-0.285311,1.22607,-1.4146,0.162325,0,0,800,0,101,-388.856,616.511,0
1120961,243.037,-385.332,88.5405,1.54707,-0.857828,0.507718,0.162078,0,0,800,0,101,-388.81,616.503,0
1121041,243.009,-385.318,88.5108,-0.21882,-0.976171,1.12237,0.162323,0,0,800,0,101,-388.815,616.508,0
1121061,243.029,-385.3,88.533,-0.305417,0.324403,1.89141,0.161704,0,0,800,0,101,-388.847,616.481,0
1121081,243.024,-385.283,88.5132,0.279659,0.65036,0.193378,0.161996,0,0,800,0,101,-388.839,616.453,0
1121101,243.019,-385.275,88.4825,-1.04723,1.24211,0.255548,0.162122,0,0,800,0,101,-388.83,616.441,0
1121125,243.017,-385.301,88.5148,-0.85864,-0.594023,0.147548,0.162238,0,0,800,0,101,-388.855,616.463,0
1121145,243.014,-385.288,88.496,-0.480204,0.122301,-0.976061,0.161986,0,0,800,0,101,-388.837,616.466,0
1121165,243.016,-385.286,88.5124,-0.780085,0.312744,0.0996964,0.161888,0,0,800,0,101,-388.851,616.468,0
1121245,243.001,-385.348,88.4984,-0.866879,-1.76319,-2.74934,0.161858,0,0,800,0,101,-388.802,616.558,0
1121265,243.037,-385.339,88.528,1.13684,-1.63082,0.23303,0.161822,0,0,800,0,101,-388.86,616.542,0
1121285,242.988,-385.301,88.5011,-2.93153,-0.324257,0.666875,0.162097,0,0,800,0,101,-388.781,616.481,0
1121309,243.055,-385.326,88.533,1.16096,-0.72833,0.558874,0.161784,0,0,800,0,101,-388.851,616.498,0
1121329,243.044,-385.291,88.5071,1.81173,1.13198,-0.259035,0.161943,0,0,800,0,101,-388.812,616.502,0
1121349,243.014,-385.316,88.5364,0.334408,-0.35399,-0.41512,0.161755,0,0,800,0,101,-388.811,616.495,0
1121429,243.035,-385.321,88.5169,0.61851,-0.616076,-0.500749,0.161909,0,0,800,0,101,-388.856,616.514,0
1121449,243.016,-385.333,88.5313,0.250819,-0.551933,0.576223,0.162035,0,0,800,0,101,-388.826,616.533,0
