14600,2.59
14601,2.59
14602,2.6
14603,2.6
14604,2.61
14585,2.54
14586,2.54
14587,2.55
14588,2.55
14589,2.56
14590,2.56
14591,2.57
14592,2.57
14593,2.58
14594,2.58
14595,2.56
14596,2.56
14597,2.56
14598,2.57
14599,2.58
14600,2.59
14601,2.59
14602,2.6
14603,2.6
14604,2.61
14605,2.59
14606,2.59
14607,2.6
14608,2.6
14609,2.61
14610,2.61
14611,2.6
14612,2.6
14613,2.6
14614,2.61
14595,2.56
14596,2.56
14597,2.56
14598,2.57
14599,2.58
14700,2.8
14701,2.81
14702,2.81
14703,2.81
14704,2.8
14705,2.8
14686,2.78
14687,2.78
14688,2.79
14689,2.8
14690,2.8
14691,2.8
14692,2.79
14693,2.79
14694,2.79
14695,2.78
14696,2.78
14697,2.78
14698,2.79
14699,2.8
14700,2.8
14701,2.81
14702,2.81
14703,2.81
14704,2.8
14705,2.8
14706,2.82
14707,2.82
14708,2.83
14709,2.83
14710,2.84
14711,2.83
14712,2.83
14713,2.83
14714,2.84
14715,2.84
14696,2.78
14697,2.78
14698,2.79
14699,2.8
14800,2.78
14801,2.79
14802,2.8
14803,2.8
14804,2.81
14805,2.82
14806,2.82
14787,2.77
14788,2.77
14789,2.78
14790,2.79
14791,2.79
14792,2.8
14793,2.8
14794,2.8
14795,2.79
14796,2.79
14797,2.8
14798,2.79
14799,2.78
14880,2.77
14881,2.78
14882,2.79
14883,2.78
14884,2.78
14885,2.77
14886,2.77
14887,2.78
14888,2.77
14889,2.77
14890,2.77
14891,2.78
14892,2.78
14893,2.79
14894,2.79
14895,2.8
14896,2.8
14897,2.79
14878,2.77
14879,2.77
14900,2.79
14901,2.8
14902,2.8
14903,2.81
14904,2.82
14905,2.82
14906,2.82
14907,2.83
14888,2.77
14889,2.77
14890,2.77
14891,2.78
14892,2.78
14893,2.79
14894,2.79
14895,2.8
14896,2.8
14897,2.79
14898,2.78
14899,2.79
14900,2.79
14901,2.8
14902,2.8
14903,2.81
14904,2.82
14905,2.82
14906,2.82
14907,2.83
14908,2.84
14909,2.84
14910,2.85
14911,2.85
14912,2.86
14913,2.87
14914,2.87
14915,2.88
14916,2.88
14917,2.89
14898,2.78
14899,2.79
14920,2.91
14921,2.92
14922,2.92
14923,2.93
14924,2.93
14925,2.93
14926,2.93
14927,2.92
14908,2.84
14909,2.84
14910,2.85
14911,2.85
14912,2.86
14913,2.87
14914,2.87
14915,2.88
14916,2.88
14917,2.89
14918,2.9
14919,2.9
15000,2.86
15001,2.85
15002,2.85
15003,2.84
15004,2.83
15005,2.83
15006,2.82
15007,2.82
15008,2.81
14989,2.86
14990,2.87
14991,2.87
14992,2.88
14993,2.89
14994,2.89
14995,2.89
14996,2.88
14997,2.87
14998,2.87
14999,2.86
15000,2.86
15001,2.85
15002,2.85
15003,2.84
15004,2.83
15005,2.83
15006,2.82
15007,2.82
15008,2.81
15009,2.81
15010,2.81
15011,2.8
15012,2.8
15013,2.79
15014,2.79
15015,2.78
15016,2.78
15017,2.77
15018,2.77
14999,2.86
15100,2.73
15101,2.73
15102,2.72
15103,2.72
15104,2.72
15105,2.73
15106,2.73
15107,2.74
15108,2.74
15109,2.75
15090,2.74
15091,2.75
15092,2.75
15093,2.75
15094,2.74
15095,2.74
15096,2.73
15097,2.72
15098,2.72
15099,2.73
15100,2.73
15101,2.73
15102,2.72
15103,2.72
15104,2.72
15105,2.73
15106,2.73
15107,2.74
15108,2.74
15109,2.75
15110,2.75
15111,2.75
15112,2.75
15113,2.74
15114,2.73
15115,2.73
15116,2.72
15117,2.72
15118,2.73
15119,2.73
15120,2.74
15121,2.74
15122,2.73
15123,2.73
15124,2.73
15125,2.74
15126,2.74
15127,2.75
15128,2.75
15129,2.76
15110,2.75
15111,2.75
15112,2.75
15113,2.74
15114,2.73
15115,2.73
15116,2.72
15117,2.72
15118,2.73
15119,2.73
15200,2.66
15201,2.67
15202,2.66
15203,2.67
15204,2.68
15205,2.68
15206,2.69
15207,2.68
15208,2.68
15209,2.67
15210,2.67
15191,2.69
15192,2.69
15193,2.69
15194,2.68
15195,2.68
15196,2.67
15197,2.67
15198,2.66
15199,2.66
15220,2.7
15201,2.67
15202,2.66
15203,2.67
15204,2.68
15205,2.68
15206,2.69
15207,2.68
15208,2.68
15209,2.67
15210,2.67
15211,2.67
15212,2.67
15213,2.68
15214,2.68
15215,2.67
15216,2.67
15217,2.68
15218,2.69
15219,2.69
15300,2.68
15301,2.67
15302,2.65
15303,2.65
15304,2.64
15305,2.64
15306,2.64
15307,2.65
15308,2.65
15309,2.65
15310,2.66
15311,2.66
15292,2.67
15293,2.66
15294,2.66
15295,2.65
