timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3315442,-191.361,-2.74531,75.427,-120,-1960,255360,-1.26048,1.93468,500,-1445,40,333,500,-649,2043.86
3315665,-191.151,-2.97239,75.3527,-70,-2040,255050,-0.0115302,-0.000179294,500,-1451,34,334,500,-672,2049.78
3315676,-191.247,-2.86026,75.3306,-140,-2020,254860,-4.80786,4.02249,500,-1453,29,336,500,-687,2056.72
3315687,-191.222,-3.01118,75.3435,-30,-1940,254800,-1.81282,-6.19556,500,-1451,28,338,500,-717,2058.68
3315720,-191.288,-3.12686,75.3397,-170,-1920,254710,-0.291145,-1.09569,-500,-1435,29,342,-500,339,2060.59
3315726,-191.259,-3.08786,75.3676,-210,-1910,254610,0.963451,1.29999,-500,-1435,25,343,-500,362,2065.66
3315738,-191.254,-3.12498,75.396,-250,-1950,254660,0.892398,-1.05913,-500,-1431,24,345,-500,379,2067.63
3315749,-191.288,-3.11312,75.3494,-290,-1980,254700,-0.76112,0.814245,-500,-1426,24,347,-500,401,2068.61
3315760,-191.316,-3.09584,75.3347,-330,-1980,254800,-1.16852,0.603743,-500,-1418,27,349,-500,421,2066.58
3315771,-191.343,-3.06669,75.3464,-360,-1980,254840,-1.63698,0.097292,-500,-1421,22,351,-500,440,2072.56
3315777,-191.363,-3.04943,75.3089,-320,-2000,254820,-0.655847,0.575437,-500,-1424,18,352,-500,461,2076
3315788,-191.353,-3.04639,75.3057,-380,-2030,254800,1.70813,0.485068,-500,-1428,16,354,-500,481,2079
3315799,-191.378,-3.01298,75.3097,-400,-2030,254690,-0.717748,-0.0964804,-500,-1431,13,356,-500,500,2082
3315810,-191.378,-3.04186,75.338,-420,-2030,254640,-0.492867,-0.720491,-500,-1437,8,358,-500,519,2087
3315821,-191.294,-3.0517,75.3493,-450,-2000,254640,1.09432,-0.441104,-500,-1446,2,359,-500,540,2093
3315832,-191.3,-3.08447,75.3404,-440,-1970,254630,-0.552609,0.293165,-500,-1450,-1,361,-500,562,2096
3315838,-191.294,-3.06572,75.3564,-470,-1960,254640,0.206959,0.624984,-500,-1448,-1,362,-500,582,2096
3315850,-191.32,-3.05192,75.3245,-470,-1960,254730,-0.801827,-0.204467,-500,-1452,-3,364,-500,602,2098
3315872,-191.274,-3.0386,75.325,-530,-1980,254780,2.45952,-0.0192775,-500,-1452,-7,367,-500,642,2100
3315883,-191.276,-3.03044,75.3154,-510,-1980,254760,1.57213,0.879728,-500,-1453,-10,369,-500,661,2100
3315894,-191.281,-3.0191,75.331,-530,-2030,254650,0.756923,-0.363848,-500,-1463,-16,371,-500,681,2100
3315900,-191.298,-2.99686,75.3,-500,-2030,254610,-0.549523,0.741242,500,-1472,-24,372,500,-334,2100
3315910,-191.24,-2.99903,75.3001,-520,-2030,254570,2.22774,0.815757,500,-1470,-22,374,500,-353,2100
3315934,-191.284,-3.03843,75.3382,-600,-1970,254390,-1.46287,0.790281,500,-1470,-23,377,500,-396,2100
3315944,-191.272,-3.02155,75.336,-600,-2020,254350,0.75451,-0.0362497,500,-1478,-28,379,500,-416,2100
3315955,-191.238,-2.95978,75.3214,-570,-2020,254290,1.56309,2.92023,500,-1480,-28,381,500,-436,2100
3315960,-191.224,-2.98275,75.3306,-580,-2030,254290,0.564268,-0.918534,500,-1484,-31,382,500,-457,2100
3315972,-191.287,-3.02085,75.3263,-520,-2060,254280,-1.2421,-0.254092,500,-1480,-29,384,500,-476,2100
3315983,-191.297,-2.94001,75.3069,-510,-2050,254280,-1.41516,1.43122,500,-1485,-29,386,500,-494,2100
3315994,-191.254,-2.98218,75.362,-520,-2070,254260,0.831041,0.10919,500,-1484,-30,388,500,-516,2100
3316006,-191.295,-2.94829,75.3095,-540,-2100,254240,0.755176,2.57901,500,-1482,-31,390,500,-537,2100
3316012,-191.316,-2.94237,75.3311,-530,-2100,254170,-0.697388,0.197301,500,-1482,-31,391,500,-556,2100
3316024,-191.27,-2.91828,75.3052,-580,-2130,254120,1.30578,2.0471,500,-1489,-33,393,500,-574,2100
3316046,-191.278,-2.96708,75.3201,-590,-2130,253920,0.819902,-0.510666,500,-1507,-39,396,500,-618,2100
3316057,-191.333,-2.96029,75.3208,-590,-2090,253840,-2.59593,1.09561,500,-1512,-41,398,500,-637,2100
3316063,-191.275,-2.95936,75.3032,-600,-2100,253790,1.96283,0.0310689,500,-1507,-39,399,500,-657,2100
3316073,-191.312,-2.95633,75.3291,-590,-2110,253820,0.318337,-0.503043,500,-1508,-38,401,500,-678,2100
3316084,-191.298,-3.00586,75.3116,-890,-2140,254810,0.16737,-1.32796,500,-91,-55,403,500,-699,2100
3316106,-191.283,-3.17741,75.2515,-820,-2090,254520,4.52984,-17.1406,-500,-149,-107,406,-500,287,2100
3316117,-191.304,-2.96835,75.4057,-770,-2100,252960,-13.8873,-22.2545,-500,-133,-108,408,-500,299,2100
3316123,-191,-3.00771,75.8234,-730,-2120,253070,10.1228,-1.31203,-500,-134,-123,409,-500,342,2100
