timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744604,243.252,-386.38,88.6862,4.3972,-5.37326,6.78777,0.101574,0,0,800,0,101,-389.204,618.207,0
752817,243.176,-386.286,88.732,0.963918,-3.53691,0.00570724,0.102644,0,0,800,0,101,-389.081,618.057,0
752837,243.085,-386.282,88.525,-0.06061,-3.21487,-3.97226,0.102941,0,0,800,0,101,-388.936,618.052,0
752860,243.201,-386.266,88.7212,0.536189,3.46294,3.02093,0.102739,0,0,800,0,101,-389.104,618.137,0
752877,243.074,-386.274,88.5284,0.636776,0.726964,1.30943,0.102069,0,0,800,0,101,-388.918,618.038,0
752901,243.144,-386.273,88.7628,6.76562,-2.58815,9.69691,0.101198,0,0,800,0,101,-388.815,617.953,0
752921,243.067,-386.228,88.6316,-4.77056,5.52796,-1.86438,0.103353,0,0,800,0,101,-389.06,618.142,0
752941,243.152,-386.351,88.6558,2.7125,-2.88206,6.9509,0.0998282,0,0,800,0,101,-388.956,618.07,0
753041,243.198,-386.367,88.6545,0.0841899,-0.309616,0.897106,0.100567,0,0,800,0,101,-389.116,618.188,0
753061,243.09,-386.275,88.5292,-3.27168,3.84764,-5.12573,0.100638,0,0,800,0,101,-388.945,618.04,0
753081,243.093,-386.284,88.5264,0.718608,-0.207314,-0.455372,0.10281,0,0,800,0,101,-388.949,618.055,0
753105,243.169,-386.372,88.6623,1.4342,-1.85793,0.210196,0.102784,0,0,800,0,101,-389.025,618.136,0
753125,243.171,-386.39,88.646,-0.00878374,-1.50669,0.167954,0.101377,0,0,800,0,101,-389.074,618.175,0
753145,243.162,-386.339,88.6507,0.282156,0.986542,-0.309812,0.100636,0,0,800,0,101,-389.05,618.174,0
753165,243.16,-386.395,88.6358,6.19367,-7.81366,7.89544,0.100692,0,0,800,0,101,-388.858,617.982,0
753225,243.155,-386.328,88.6727,-0.311326,0.448657,-0.230543,0.102188,0,0,800,0,101,-389.048,618.125,0
753245,243.056,-386.237,88.5452,-0.414822,1.8551,1.15139,0.103018,0,0,800,0,101,-388.889,617.98,0
753265,243.154,-386.364,88.6621,5.08442,-4.98232,6.52826,0.10039,0,0,800,0,101,-389.046,618.182,0
753285,243.092,-386.269,88.5261,-0.27933,-2.44218,-4.84121,0.102361,0,0,800,0,101,-388.947,618.03,0
753309,243.071,-386.274,88.5259,-6.26332,4.52434,-6.23183,0.100828,0,0,800,0,101,-389.115,618.184,0
753328,243.173,-386.347,88.6894,7.06005,-4.37101,9.91694,0.102781,0,0,800,0,101,-388.908,618.051,0
753349,243.141,-386.357,88.6416,2.47361,-3.39734,4.74793,0.100168,0,0,800,0,101,-388.946,618.062,0
753429,243.16,-386.34,88.6714,-1.80651,1.02843,-1.28502,0.100396,0,0,800,0,101,-389.056,618.144,0
753449,243.172,-386.344,88.6473,4.50352,-2.51729,4.85322,0.102596,0,0,800,0,101,-389.075,618.15,0
753469,243.182,-386.346,88.6782,7.35923,-5.29958,7.94112,0.102525,0,0,800,0,101,-389.091,618.153,0
753489,243.149,-386.308,88.643,1.4746,-3.93215,-4.30403,0.102335,0,0,800,0,101,-389.038,618.093,0
753513,243.181,-386.354,88.6716,6.14989,-4.22203,5.9374,0.102791,0,0,800,0,101,-388.892,618.031,0
753533,243.035,-386.217,88.53,-4.92165,5.38328,-3.25367,0.100763,0,0,800,0,101,-389.053,618.162,0
753553,243.094,-386.256,88.5295,2.44905,-1.99709,1.07935,0.103003,0,0,800,0,101,-388.872,617.945,0
753633,243.13,-386.329,88.623,4.73063,-4.91173,3.92882,0.101815,0,0,800,0,101,-389.008,618.127,0
753653,243.144,-386.328,88.6576,3.44484,-3.07893,6.69896,0.100697,0,0,800,0,101,-389.031,618.124,0
753673,243.065,-386.253,88.5325,-4.82402,3.96111,-5.49505,0.100499,0,0,800,0,101,-388.903,618.005,0
753697,243.175,-386.336,88.6512,5.82837,-4.06459,5.93593,0.100698,0,0,800,0,101,-388.894,618.008,0
753717,243.095,-386.252,88.5548,1.09555,0.432314,0.673757,0.100684,0,0,800,0,101,-388.918,618.017,0
753737,243.054,-386.251,88.526,-5.94833,1.21212,-9.64747,0.100967,0,0,800,0,101,-388.886,618.002,0
753817,243.139,-386.261,88.7382,0.186305,-0.231786,0.844356,0.102052,0,0,800,0,101,-389.023,618.018,0
753837,243.084,-386.229,88.5893,-4.33049,3.73234,-5.64131,0.100136,0,0,800,0,101,-388.934,617.967,0
753857,243.072,-386.238,88.6188,-1.85356,-0.516592,2.00498,0.101133,0,0,800,0,101,-388.915,617.98,0
753877,243.09,-386.232,88.6303,-0.731187,-0.743286,0.144545,0.101608,0,0,800,0,101,-388.944,617.971,0
753901,243.135,-386.206,88.715,-0.147778,1.48032,-1.88281,0.102459,0,0,800,0,101,-389.02,617.978,0
753917,243.181,-386.366,88.6387,-0.23087,-0.854246,-0.626357,0.0996445,0,0,800,0,101,-389.09,618.186,0
753917,243.181,-386.366,88.6387,-0.23087,-0.854246,-0.626357,0.0996445,0,0,800,0,101,-389.09,618.186,0
753917,243.181,-386.366,88.6387,-0.23087,-0.854246,-0.626357,0.0996445,0,0,800,0,101,-389.09,618.186,0
754040,243.081,-386.213,88.609,-0.959323,-1.09699,-0.868194,0.101132,0,0,800,0,202,-388.93,617.942,0
754061,243.176,-386.306,88.7232,7.42586,-6.82178,5.01528,0.102972,0,0,800,0,101,-389.081,618.089,0
754085,243.2,-386.349,88.6535,7.15438,-5.20061,6.39783,0.1004,0,0,800,0,101,-388.891,617.992,0
754105,243.176,-386.344,88.6483,0.254032,-3.60515,-3.90264,0.0999536,0,0,800,0,101,-389.081,618.151,0
754125,243.157,-386.243,88.7477,3.92293,-2.48884,8.14522,0.0994555,0,0,800,0,101,-389.051,617.988,0
754205,243.023,-386.219,88.4997,-6.61342,4.77715,-6.71636,0.102067,0,0,800,0,101,-388.837,617.951,0
754225,243.14,-386.229,88.7196,-0.195584,0.927188,-1.54905,0.102772,0,0,800,0,101,-389.025,617.966,0
754245,243.067,-386.271,88.5307,0.537558,-0.432929,0.183857,0.102595,0,0,800,0,101,-388.906,618.034,0
754269,243.146,-386.35,88.6567,0.123434,-1.17089,2.09209,0.100613,0,0,800,0,101,-389.029,618.123,0
754289,243.068,-386.272,88.5345,-5.14713,3.68221,-6.10175,0.101902,0,0,800,0,101,-388.909,618.036,0
754309,243.069,-386.201,88.6127,-5.64089,7.67189,-2.3704,0.101695,0,0,800,0,101,-388.91,617.921,0
754329,243.175,-386.351,88.6667,5.00592,-3.73248,6.48775,0.103004,0,0,800,0,101,-389.079,618.162,0
754409,243.077,-386.18,88.6004,1.71544,3.56527,3.38765,0.100907,0,0,800,0,101,-388.923,617.889,0
754429,243.084,-386.184,88.6132,0.543821,4.17932,2.5412,0.102512,0,0,800,0,101,-388.935,617.894,0
754449,243.185,-386.326,88.6592,6.01268,-4.80444,6.73772,0.101396,0,0,800,0,101,-389.095,618.121,0
754473,243.184,-386.29,88.7334,5.46675,-0.235077,9.94738,0.0998995,0,0,800,0,101,-389.094,618.064,0
754493,243.191,-386.368,88.6682,1.8889,-3.07,2.29103,0.102578,0,0,800,0,101,-389.106,618.188,0
