timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3355310,-305.694,-497.547,70.3597,810,-950,248910,-12.6501,1.80157,440,133,76,2118,440,-260,1947
3363023,-115.963,-74.8086,73.4327,810,-940,248910,-1.48301,-1.29726,119.694,140,79,2121,119.694,-230,1945.5
3363032,-115.981,-74.7876,73.4259,780,-940,248820,0.122895,0.582482,119.66,138,76,2124,119.66,-229,1947
3363043,-115.974,-74.7799,73.436,790,-950,248720,-0.423236,0.616982,119.648,133,73,2128,119.648,-229,1948
3363054,-115.998,-74.8019,73.4564,810,-940,248620,-2.18196,-0.640413,119.668,115,64,2132,119.668,-230,1952.5
3363064,-115.988,-74.7833,73.4283,800,-900,248510,-0.585723,-1.14788,119.635,107,59,2136,119.635,-229,1955
3363074,-115.97,-74.7897,73.4281,740,-860,248410,-0.148775,0.664441,119.679,103,55,2140,119.679,-230,1957.5
3363082,-115.983,-74.7972,73.4331,730,-890,248310,-0.176511,-0.821263,119.676,111,59,2143,119.676,-230,1955.5
3363093,-115.979,-74.7996,73.4195,700,-890,248210,1.74942,-1.69391,119.679,109,58,2147,119.679,-230,1956
3363103,-115.965,-74.7944,73.4294,750,-920,248100,0.521166,0.496452,119.671,99,52,2151,119.671,-229,1959
3363114,-115.944,-74.7955,73.4178,810,-890,248020,0.703329,-0.583629,119.673,89,46,2155,119.673,-230,1962
3363125,-115.945,-74.7816,73.4227,860,-910,248080,1.34987,1.19345,119.679,90,48,2159,119.679,-230,1961
3363135,-115.943,-74.7842,73.4201,880,-920,248180,1.86902,0.467207,119.655,96,50,2163,119.655,-229,1960
3363145,-115.985,-74.8046,73.4223,930,-930,248190,-1.2049,-0.585649,119.687,103,52,2167,119.687,-230,1959.5
3363156,-115.981,-74.7929,73.4283,930,-940,248230,-0.614238,-0.339739,119.663,114,57,2171,119.663,-230,1956.5
3363165,-115.996,-74.8123,73.4304,980,-960,248220,-1.50791,-1.15436,119.7,120,57,2174,119.7,-230,1957
3363175,-115.979,-74.788,73.4158,970,-950,248210,0.690195,0.32487,119.661,122,57,2178,119.661,-229,1956.5
3363186,-115.963,-74.7082,73.403,910,-1000,247070,-0.0708552,7.31189,119.533,13,-6,2182,119.533,-227,1988
3363196,-116.139,-74.5561,73.713,930,-980,249130,-20.1109,9.69154,119.29,21,-19,2186,119.29,-226,1994.5
3363205,-115.968,-74.7015,73.4218,990,-930,245990,-18.1235,23.4116,119.522,19,-34,2190,119.522,-223,2002
3363225,-115.953,-74.5918,73.5981,1020,-890,247650,3.27169,3.52927,119.347,-8,-85,2197,119.347,-228,2027
3363247,-115.812,-74.6015,73.7342,1120,-910,252100,9.15428,1.23401,119.362,-34,-128,2204,119.362,-229,2048.5
3363257,-116.025,-74.6227,73.5886,1160,-980,248590,8.35194,1.09616,119.396,-48,-148,2208,119.396,-229,2058.5
3363268,-116.008,-74.6701,73.5405,1220,-1030,246590,8.04607,-5.73744,119.335,-59,-165,2212,119.335,-238,2067
3363279,-115.992,-74.7099,73.8431,-220,-1620,246900,13.6096,-27.2164,119.536,-281,98,2216,119.536,-237,1936
3363309,-119.779,-68.4293,194.578,-490,-1610,247270,-9.39965,101.237,109.487,-213,274,2224,109.487,-197,1848.9
3363318,-119.206,-63.9246,251.858,-540,-1550,247340,36.3678,102.99,102.279,-79,278,2227,102.279,-194,1845.6
3363328,-118.051,-56.2093,314.654,-870,-1280,247260,44.8233,165.131,89.9348,51,292,2231,89.9348,-169,1838.27
3363338,-114.975,-47.0705,376.036,-610,-730,246990,80.4319,196.099,75.3128,154,274,2235,75.3128,-152,1846.45
3363347,-110.744,-37.7852,428.829,-160,-240,246380,103.935,219.546,60.4563,245,247,2238,60.4563,-132,1859.25
3363358,-104.264,-26.6767,489.069,330,170,245650,113.907,207.633,42.6827,349,234,2242,42.6827,-123,1866.15
3363379,-94.7301,-10.6958,594.996,250,250,244730,63.6375,98.6052,17.1133,496,191,2249,17.1133,-132,1858.99
3363400,-92.8755,-2.74529,686.706,80,350,244590,-15.747,64.7383,4.39246,644,122,2256,4.39246,-128,1857.52
3363411,-93.5396,-1.99144,726.515,-160,490,244730,-33.4169,6.79665,3.34943,707,82,2260,3.34943,-143,1865.18
3363418,-94.4763,-2.74509,749.03,-540,420,245030,-29.9076,-44.9144,4.39214,760,68,2263,4.39214,-159,1859.35
3363430,-95.3175,-5.46921,784.875,-950,-10,245380,6.18039,-76.8379,8.75074,827,67,2267,8.75074,-175,1845.3
3363452,-90.4043,-15.2882,843.275,-790,-810,245770,73.8848,-71.2061,23.3218,937,42,2274,23.3218,-202,1834.7
3363461,-86.0259,-18.6962,862.733,-460,-790,245680,98.1188,-60.0558,29.914,962,4,2278,29.914,-193,1843.63
3363481,-73.5224,-24.3619,897.249,-30,-1020,245260,127.797,-43.2673,38.979,987,-31,2284,38.979,-198,1847.32
3363492,-66.2299,-25.7193,913.897,-230,-1130,245020,135.782,-13.4625,41.1508,996,-35,2288,41.1508,-193,1842.87
3363502,-59.9957,-25.5546,928.057,-410,-1040,244760,115.163,-3.30406,40.8874,1017,-46,2292,40.8874,-189,1842.42
3363512,-53.209,-23.9294,940.467,-70,-710,244510,130.465,33.3879,38.2871,1047,-44,2296,38.2871,-178,1836.65
3363522,-45.4023,-20.8191,951.305,50,-480,244430,175.364,61.5735,33.3106,1073,-63,2300,33.3106,-168,1840.99
3363533,-36.3868,-17.1917,959.485,140,-330,244500,158.845,40.9306,28.1615,1086,-79,2304,28.1615,-163,1845.4
3363543,-28.1439,-13.6827,964.53,30,-330,244690,145.018,76.4413,21.8924,1084,-104,2308,21.8924,-159,1855.25
3363552,-21.5777,-11.1745,967.541,-320,-120,244870,145.768,46.0711,17.8791,1084,-128,2311,17.8791,-165,1866.47
3363593,2.76013,-2.13067,971.161,-670,-1070,245310,109.328,75.8984,3.40907,1085,-88,2324,3.40907,-150,1844.62
3363605,9.79255,4.78255,975.561,-340,-840,245310,131.54,132.48,-7.65207,1098,-75,2328,-7.65207,-127,1836.07
3363623,23.3825,20.3189,981.537,810,-260,245280,157.066,202.342,-32.5103,1116,-77,2333,-32.5103,-86,1833.48
3363634,32.193,31.8114,983.634,1220,480,245180,143.939,193.418,-50.8982,1109,-66,2338,-50.8982,-73,1827.27
3363655,46.884,52.9518,990.473,1210,1220,244830,128.035,129.519,-84.7229,1091,-70,2345,-84.7229,-60,1825.18
3363666,51.1842,60.8972,994.17,930,1490,244470,79.2791,114.765,-94.6812,1092,-81,2349,-94.6812,-46,1829.09
3363686,56.5919,64.3613,996.64,940,1420,243990,65.1282,-12.4417,-103.277,1124,-81,2355,-103.277,-73,1827.61
3363705,58.488,56.0436,991.632,710,770,244420,5.60835,-127.965,-89.6697,1155,-103,2361,-89.6697,-109,1839.95
3363717,58.3404,46.95,984.357,480,400,244960,-61.1521,-104.599,-75.12,1140,-115,2366,-75.12,-108,1848.67
3363726,57.9533,38.458,977.515,860,160,245540,-29.9165,-151.851,-61.5327,1126,-118,2369,-61.5327,-132,1852.77
3363732,57.7974,32.2692,972.315,1250,-230,246110,9.26043,-214.827,-51.6307,1125,-106,2371,-51.6307,-162,1848.72
3363756,51.2623,6.75619,953.323,1180,-850,247040,-100.81,-210.228,-10.8099,1114,-97,2377,-10.8099,-187,1852.04
3363778,36.3514,-13.6686,933.478,610,-980,247640,-162.942,-149.704,18.2769,1084,-93,2384,18.2769,-207,1856.74
3363799,15.1307,-27.7805,915.283,140,-860,248080,-239.046,-120.414,44.4488,1067,-83,2391,44.4488,-206,1859.47
3363806,7.30269,-31.5463,908.98,80,-880,248230,-206.268,-109.05,50.4741,1052,-89,2394,50.4741,-212,1864.99
3363819,-7.32405,-37.114,896.574,-120,-1070,248440,-222.208,-76.8449,59.3824,1056,-74,2399,59.3824,-211,1862.96
3363829,-18.8265,-40.17,887.263,-240,-1170,248690,-233.223,-57.8855,64.272,1048,-60,2403,64.272,-210,1859.66
3363840,-31.0742,-41.2774,878.408,-520,-1090,248840,-218.339,17.1362,66.318,1042,-56,2407,66.318,-207,1860.04
3363848,-39.7875,-41.218,871.603,-620,-840,248920,-219.214,11.7841,65.9487,1040,-52,2410,65.9487,-197,1861.84
3363859,-50.3852,-39.1833,861.658,-780,-460,248910,-205.792,46.4845,62.6933,1035,-44,2414,62.6933,-188,1861.29
