timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,410,-1040,260640,0,0,0,-70,-13,0,0,0,2100
3203674,-225.644,-171.087,75.5976,390,-1060,260540,0.63745,0.637824,273.738,-79,-15,2,273.738,-277,2100
3203685,-225.646,-171.083,75.5894,350,-1060,260440,-0.708087,1.00987,273.733,-77,-15,4,273.733,-279,2100
3203707,-225.656,-171.054,75.5795,240,-1100,260250,-0.954306,1.10973,273.686,-89,-18,7,273.686,-284,2100
3203713,-225.61,-171.082,75.5818,200,-1090,260140,1.50845,-0.946765,273.732,-91,-16,8,273.732,-289,2100
3203725,-225.704,-171.095,75.6078,140,-1050,260040,-1.47987,-0.522132,273.752,-90,-18,10,273.752,-292,2100
3203747,-225.602,-171.118,75.6241,90,-1050,259840,1.64135,-0.503993,273.79,-83,-12,13,273.79,-297,2100
3203759,-225.689,-171.115,75.5987,120,-1030,259730,-2.96344,0.311478,273.8,-88,-13,15,273.8,-300,2100
3203765,-225.651,-171.124,75.6465,60,-1010,259620,1.27425,-0.283039,273.798,-88,-11,16,273.798,-302,2100
3203776,-225.624,-171.195,75.7081,20,-980,259520,-0.243573,-0.791473,273.912,-85,-8,18,273.912,-306,2100
3203780,-225.626,-171.136,75.6127,40,-970,259410,-0.12653,2.92151,273.818,-88,-9,19,273.818,-305,2100
3203809,-225.654,-171.105,75.632,20,-970,259210,0.293984,1.59082,273.768,-89,-8,22,273.768,-312,2100
3203820,-225.62,-171.113,75.6154,-10,-1020,259100,0.260844,-0.259421,273.781,-88,-7,24,273.781,-316,2100
3203826,-225.61,-171.106,75.6459,20,-1040,259000,0.347644,0.227909,273.77,-74,2,25,273.77,-318,2094
3203837,-225.588,-170.87,75.6199,20,-1040,258890,1.1754,6.68847,273.392,-72,3,27,273.392,-314,2092
3203849,-225.589,-170.891,75.5817,20,-1080,258790,-0.459525,-0.388252,273.426,-77,0,29,273.426,-324,2095
3203860,-225.601,-170.84,75.5872,20,-1120,258690,-1.42438,2.25588,273.345,-71,2,31,273.345,-321,2093
3203871,-225.552,-170.849,75.5982,20,-1070,258590,0.885662,0.905705,273.395,-66,4,33,273.395,-325,2091
3203877,-225.574,-170.889,75.5869,20,-1050,258480,-0.743054,-1.3244,273.422,-57,9,34,273.422,-325,2086
3203888,-225.564,-170.958,75.6435,0,-1040,258370,0.885164,-2.38914,273.533,-58,10,36,273.533,-326,2085
3203899,-225.615,-170.883,75.6471,20,-1070,258280,-1.33603,1.40022,273.413,-60,11,38,273.413,-322,2084
3203910,-225.575,-170.923,75.6474,40,-1080,258180,-0.565683,-1.28616,273.476,-64,9,40,273.476,-325,2086
3203921,-225.613,-170.899,75.6347,30,-1060,258070,-1.79905,0.970718,273.439,-68,6,42,273.439,-323,2089
3203933,-225.564,-170.92,75.6138,10,-1030,257970,0.980348,-1.10319,273.419,-68,7,44,273.419,-323,2089
3203943,-225.566,-170.923,75.6153,10,-1010,257870,0.79314,-0.105098,273.473,-68,6,46,273.473,-324,2089
3203949,-225.576,-170.941,75.6458,30,-1030,257780,-0.348072,-0.580428,273.505,-60,9,47,273.505,-324,2086
3203960,-225.583,-170.898,75.595,0,-1010,257670,1.05333,0.531,273.437,-56,11,49,273.437,-323,2084
3203982,-225.561,-170.87,75.6426,0,-1020,257470,0.418747,-0.559109,273.392,-64,10,52,273.392,-324,2085
3203994,-225.613,-170.92,75.6468,40,-1030,257370,-0.775375,-0.78891,273.472,-57,13,54,273.472,-324,2082
3204000,-225.609,-170.877,75.5645,30,-1050,257260,0.145299,1.41375,273.404,-54,14,55,273.404,-322,2081
3204012,-225.599,-170.933,75.5998,80,-1050,257170,-0.0389307,-1.01092,273.493,-53,14,57,273.493,-325,2081
3204054,-225.11,-170.483,75.6781,10,-1070,252350,8.95436,14.3661,272.773,15,-43,63,272.773,-309,2100
3204060,-225.337,-171.178,75.3603,10,-1040,252680,-7.54731,-23.1847,273.886,46,-44,64,273.886,-348,2100
3204071,-225.103,-170.614,76.0642,80,-1050,252690,18.791,23.9217,272.982,20,-81,66,272.982,-300,2100
3204095,-225.312,-170.504,76.2294,180,-1120,252710,4.5219,15.6387,272.806,-98,-187,69,272.806,-308,2100
3204106,-225.207,-170.283,76.285,230,-1150,252750,6.42,30.1021,272.453,-126,-222,71,272.453,-293,2100
3204112,-225.445,-171.201,75.4786,350,-1150,252700,-7.9075,-30.5914,273.921,-126,-232,72,273.921,-355,2100
3204123,-225.083,-171.116,76.4269,180,-2490,252290,2.11666,-0.981239,273.786,-153,-109,74,273.786,-325,2100
