timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,190,-500,261360,0,0,100,141,45,0,-500,400,2050
633359,6.9245,10.5595,75.0122,220,-530,261470,0.0021866,0.00333444,140,149,47,1,-500,400,2048
633370,6.89737,10.6009,75.0087,230,-580,261570,0.252899,0.124429,150,164,53,2,-500,400,2042
633381,6.896,10.6654,75.013,230,-600,261660,1.60385,-0.619772,100,177,58,4,-500,400,2038
633387,6.88338,10.6311,75.0503,200,-570,261560,-0.420738,-1.14427,110,188,60,5,-500,400,2035
633399,6.91125,10.6759,75.0612,190,-600,261460,1.29909,-0.890782,150,190,59,7,-500,400,2036
633399,6.91125,10.6759,75.0612,190,-680,261380,1.29909,-0.890782,150,188,55,7,-500,400,2040
633399,6.91125,10.6759,75.0612,170,-700,261280,1.29909,-0.890782,130,189,53,7,-500,400,2042
633399,6.91125,10.6759,75.0612,140,-760,261160,1.29909,-0.890782,140,179,46,7,-500,400,2049
633399,6.91125,10.6759,75.0612,100,-760,261050,1.29909,-0.890782,130,177,43,7,-500,400,2052
633399,6.91125,10.6759,75.0612,90,-780,260950,1.29909,-0.890782,120,173,38,7,-500,400,2056
633399,6.91125,10.6759,75.0612,110,-750,260850,1.29909,-0.890782,110,165,33,7,-500,400,2062
633399,6.91125,10.6759,75.0612,130,-730,260740,1.29909,-0.890782,100,169,35,7,-500,400,2060
633399,6.91125,10.6759,75.0612,130,-730,260650,1.29909,-0.890782,110,166,33,7,-500,400,2062
633399,6.91125,10.6759,75.0612,170,-710,260550,1.29909,-0.890782,110,164,28,7,-500,400,2066
633402,6.89204,10.6755,75.0618,170,-680,260440,-1.281,-0.0222436,180,161,24,8,-500,400,2070
633402,6.89204,10.6755,75.0618,160,-690,260330,-1.281,-0.0222436,120,162,24,8,-500,400,2071
633402,6.89204,10.6755,75.0618,130,-740,260220,-1.281,-0.0222436,130,148,15,8,-500,400,2080
633402,6.89204,10.6755,75.0618,150,-730,260120,-1.281,-0.0222436,120,130,7,8,-500,400,2088
633402,6.89204,10.6755,75.0618,170,-750,260020,-1.281,-0.0222436,160,118,1,8,-500,400,2094
633402,6.89204,10.6755,75.0618,130,-800,259910,-1.281,-0.0222436,140,107,-6,8,-500,400,2100
633402,6.89204,10.6755,75.0618,120,-800,259820,-1.281,-0.0222436,130,84,-19,8,-500,400,2100
633402,6.89204,10.6755,75.0618,120,-830,259710,-1.281,-0.0222436,150,64,-29,8,-500,400,2100
633402,6.89204,10.6755,75.0618,70,-900,248420,-1.281,-0.0222436,140,9,-1,8,-500,400,2096
633402,6.89204,10.6755,75.0618,130,-870,252250,-1.281,-0.0222436,220,10,-14,8,-500,400,2100
633402,6.89204,10.6755,75.0618,180,-850,252870,-1.281,-0.0222436,170,11,-30,8,-500,400,2100
633402,6.89204,10.6755,75.0618,200,-950,252750,-1.281,-0.0222436,160,12,-42,8,-500,400,2100
633402,6.89204,10.6755,75.0618,240,-970,252630,-1.281,-0.0222436,160,-20,-79,8,-500,400,2100
633402,6.89204,10.6755,75.0618,320,-980,252550,-1.281,-0.0222436,190,-53,-116,8,-500,400,2100
633657,6.32147,10.8994,74.9879,480,-1050,252320,-0.447503,0.175559,280,-87,-174,9,-500,400,2100
633668,6.97455,11.8593,75.7068,650,-1160,252100,-10.799,40.2028,180,-87,-186,11,-500,400,2100
633674,6.52099,11.0031,75.451,4680,1170,251650,-15.1188,-28.5395,100,-82,8,12,-500,400,2098
633685,6.23589,9.32592,92.9774,6350,3910,252040,-2.8822,-37.3291,-510,40,73,14,-500,400,2042
633696,6.04122,8.75094,124.213,5710,4600,253850,-41.6065,-29.7872,-1210,162,643,16,-500,400,1600
633707,-13.2504,4.38825,208.052,3650,2990,254960,-375.469,-70.7133,60,269,709,18,-500,124,1600
633718,-26.0468,-1.55616,305.363,2120,3100,255930,-172.145,-155.92,-460,396,844,20,-500,327,1600
633724,-31.8683,-5.7388,365.518,2470,4340,256990,-194.048,-139.421,-1020,506,788,21,-500,305,1600
633735,-40.0656,-12.8679,475.336,3200,4830,256960,-115.223,-99.3644,-630,607,723,23,-500,384,1600
633746,-47.5904,-20.6658,577.959,3910,5140,256700,-106.252,-165.185,-670,704,669,25,-500,393,1600
633751,-49.7726,-24.7564,623.596,4220,5880,255500,-87.2902,-163.625,-420,802,482,26,-500,400,1600
633790,-58.3059,-87.3046,881.555,2900,8270,253280,0.593776,-489.584,-690,1041,279,30,-500,400,1600
633796,-58.2284,-103.573,910.262,3060,8920,251510,2.58187,-542.291,-1360,1084,220,31,-500,400,1600
633807,-59.045,-136.039,958.311,3780,9790,250290,-4.18289,-615.042,-1320,1116,163,33,-500,400,1600
633818,-62.6004,-167.918,999.39,3780,9810,249470,-91.3081,-590.494,-660,1151,113,35,-500,400,1600
633840,-79.281,-251.795,1058.55,590,8510,249200,-220.898,-894.291,-360,1243,-90,38,-500,279,1729.53
633851,-94.2021,-308.948,1067.89,-1780,7480,249740,-264.983,-1102.24,-750,1267,-142,40,-500,235,1773.62
