timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871410,-18.2535,13.6758,75.4955,0,0,0,-0.844573,-0.265428,-21.8812,0,0,2,-21.8812,20,2078.8
871420,-18.352,13.5214,75.3735,0,0,0,-3.54373,-5.51722,-21.6343,0,0,4,-21.6343,15,2079.9
871431,-18.0583,13.3183,75.4641,0,0,0,6.14794,-9.20018,-21.6773,0,0,6,-21.6773,22,2081
871437,-17.9952,13.2904,75.319,0,0,0,2.10244,-0.930169,-21.2646,0,0,7,-21.2646,19,2082.1
871448,-18.0017,13.2697,75.31,0,0,0,-0.892434,-0.028259,-21.2316,0,0,9,-21.2316,20,2083.31
871459,-18.0784,13.3561,75.3128,0,0,0,-3.08522,1.81201,-21.3697,0,0,11,-21.3697,22,2084.41
871471,-18.0651,13.3805,75.2957,0,0,0,-1.10276,1.49759,-21.4088,0,0,13,-21.4088,22,2085.51
871482,-18.1155,12.6025,74.6702,0,0,0,-0.438658,1.38116,-20.164,0,0,15,-20.164,20,2086.61
871488,-18.1211,12.6361,74.6697,0,0,0,-0.183578,1.12215,-20.2178,0,0,16,-20.2178,20,2087.71
871499,-18.1125,12.6668,74.6531,0,0,0,-0.169451,0.0362205,-20.2669,0,0,18,-20.2669,19,2088.81
871511,-18.1632,12.6424,74.584,0,0,0,-0.727684,-1.76186,-20.2278,0,0,20,-20.2278,17,2089.91
871522,-18.1093,12.6598,74.5983,0,0,0,1.43242,-0.0236513,-20.2557,0,0,22,-20.2557,19,2091.01
871533,-18.119,12.6437,74.5951,0,0,0,-0.561239,0.312362,-20.2174,0,0,24,-20.2174,18,2092.11
871539,-18.1352,12.636,74.622,0,0,0,-0.54036,-0.255829,-20.2176,0,0,25,-20.2176,19,2093.21
871550,-18.1326,12.5964,74.6221,0,0,0,-0.745287,-0.644305,-20.1542,0,0,27,-20.1542,18,2094.42
871561,-18.0787,12.5807,74.643,0,0,0,1.48556,0.0266581,-20.1292,0,0,29,-20.1292,19,2095
871572,-18.1079,12.6203,74.6395,0,0,0,-0.992771,1.3062,-20.1926,0,0,31,-20.1926,20,2095
871583,-18.1541,12.6024,74.6363,0,0,0,-1.16203,0.35593,-20.1638,0,0,33,-20.1638,19,2095
871589,-18.1001,12.5826,74.6204,0,0,0,1.80183,-0.657115,-20.1322,0,0,34,-20.1322,18,2095
871601,-18.0793,12.5403,74.6604,0,0,0,0.367569,-1.4842,-20.0646,0,0,36,-20.0646,17,2095
871613,-18.0941,12.4917,74.7025,0,0,0,-0.802401,-1.05465,-19.9868,0,0,38,-19.9868,18,2095
871625,-18.09,12.4784,74.7189,1050,0,252750,-0.298341,-0.855107,-20.0065,-51,51,40,-20.0065,19,2044
871630,-18.0242,12.4674,74.7429,990,60,253750,2.63346,-0.440194,-19.9479,-16,54,41,-19.9479,19,2042
871641,-18.0386,12.4428,74.7391,930,120,254760,-0.127304,-0.101416,-19.9085,19,58,43,-19.9085,19,2038
871664,-18.0884,12.4104,74.76,860,170,256780,-0.860454,-0.208708,-19.8566,94,74,46,-19.8566,18,2021
