timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287947,230.499,-377.574,88.6526,-0.669916,0.0838261,3.33788,0.747163,877.548,199.775,800,0,101,1036.53,918.229,0
1288781,230.472,-377.645,88.56,0.0767921,-0.558107,-0.936608,0.748002,869.026,234.079,800,0,101,1023.15,973.282,0
1288804,230.542,-377.771,88.6509,0.699573,0.731729,0.270826,0.746128,859.165,268.022,800,0,101,1007.5,1027.88,0
1288820,230.514,-377.77,88.6478,-1.8401,1.17654,-0.677286,0.746627,847.987,301.525,800,0,101,989.832,1081.57,0
1288864,230.561,-377.814,88.6466,1.04132,0.289884,0.456928,0.746019,821.711,367.138,800,0,101,948.142,1186.74,0
1288905,230.535,-377.839,88.6445,-1.06892,-1.7935,-1.23095,0.74632,788.68,433.571,800,0,101,895.732,1293.32,0
1288925,230.536,-377.807,88.7091,-1.15379,-0.491981,-0.389486,0.746315,771.047,464.205,800,0,101,867.733,1320,0
1288948,230.533,-377.777,88.6915,-0.932531,0.533127,1.62432,0.746786,752.225,494.123,800,0,101,837.78,1320,0
1288964,230.512,-377.78,88.7155,-1.2519,0.236229,1.20868,0.746419,732.243,523.279,800,0,101,806.056,1320,0
1289008,230.556,-377.833,88.6558,-1.60892,-0.795119,-1.20811,0.746659,688.94,579.104,800,0,101,737.026,1320,0
1289048,230.469,-377.595,88.65,-0.407571,0.268606,-1.47301,0.749534,641.372,631.381,800,0,101,661.414,1320,0
1289108,230.556,-377.821,88.678,-0.522674,0.973919,-0.956895,0.746406,559.955,704.593,800,0,101,531.468,1320,0
1289129,230.54,-377.834,88.6659,-1.83714,0.470396,0.987172,0.746056,531.856,726.036,800,0,101,486.672,1320,0
1289152,230.542,-377.824,88.6524,-1.66583,-2.22145,-2.69492,0.746425,502.938,746.36,800,0,101,440.527,1320,0
1289173,230.564,-377.837,88.6413,1.89241,-1.73633,-3.42807,0.745831,473.266,765.519,800,0,101,393.179,1320,0
1289232,230.541,-377.816,88.6186,-2.34366,1.23083,-5.57024,0.746125,379.994,815.846,800,0,101,244.258,1320,0
1289253,230.561,-377.819,88.6726,0.696596,1.81021,1.1446,0.745964,347.666,830.138,800,0,101,192.592,1320,0
1289272,230.44,-377.611,88.6702,-6.21575,14.25,-0.226511,0.745982,314.827,843.139,800,0,101,140.285,1320,0
1289293,230.544,-377.85,88.6442,-0.253096,-1.69937,-0.077103,0.746198,281.477,854.851,800,0,101,86.8739,1320,0
1289312,230.557,-377.808,88.6784,0.57338,-0.15762,0.17253,0.746218,244.286,866.213,800,0,101,27.4196,1320,0
1289312,230.557,-377.808,88.6784,0.57338,-0.15762,0.17253,0.746218,244.286,866.213,800,0,101,27.4196,1320,0
1289396,230.509,-377.815,88.6563,-1.45699,-0.830557,-0.077874,0.746694,105.778,893.762,800,0,101,-193.941,1320,0
1289437,230.551,-377.854,88.6967,2.89954,-11.1792,-1.22563,0.746172,35.3439,899.306,800,0,101,-306.711,1320,0
1289457,230.57,-377.813,88.6628,3.77076,-3.17655,-1.57815,0.74606,0.00451663,900,800,0,101,-363.236,1320,0
1289477,230.553,-377.823,88.687,-0.0227372,0.216119,1.11013,0.746235,-35.3349,899.306,800,0,101,-419.757,1320,0
1289500,230.552,-377.803,88.6738,-0.777472,1.96685,-1.2867,0.745814,-70.6198,897.225,800,0,101,-476.242,1320,0
1289521,230.567,-377.823,88.6862,0.955185,-3.8901,-3.22765,0.745801,-109.286,893.34,800,0,101,-538.18,1320,0
1289552,230.499,-377.818,88.7065,-3.9883,0.99366,4.06704,0.746033,-179.051,882.01,800,0,101,-649.723,1320,0
1289600,230.579,-377.827,88.6909,1.47929,-0.27599,1.65547,0.745972,-247.685,865.247,800,0,101,-759.812,1320,0
