timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,600,650,260560,0,0,500,-2508,88,0,500,-640,2007
3354236,24.6412,-595.22,73.2999,610,660,260450,0.00146926,-0.0354907,500,-2496,95,1,500,-653,2001
3354248,24.7679,-595.239,73.4409,590,650,260330,0.939183,1.0458,500,-2484,100,3,500,-673,1995
3354259,24.7188,-595.251,73.4488,590,600,260230,0.0514392,0.11195,500,-2483,95,5,500,-694,2000
3354270,24.7324,-595.268,73.4375,620,630,260130,3.6018,-1.45913,500,-2484,94,7,500,-715,2001
3354282,24.7277,-595.234,73.4132,640,620,260030,-0.562023,0.759092,500,-2489,88,9,500,-733,2007
3354292,24.7156,-595.271,73.4326,690,620,259930,-0.17014,-0.814186,500,-2491,83,11,500,-754,2012
3354298,24.7041,-595.249,73.4472,700,600,259820,-0.38392,0.731203,500,-2495,80,12,500,-773,2015
3354309,24.7356,-595.282,73.4339,740,590,259720,1.27626,0.793312,500,-2499,78,14,500,-790,2017
3354320,24.6915,-595.265,73.4343,720,590,259620,1.86402,-1.45639,500,-2505,73,16,500,-793,2022
3354331,24.7052,-595.307,73.4701,690,570,259520,-0.491382,-1.26582,500,-2509,70,18,500,-793,2024
3354342,24.711,-595.324,73.4527,700,590,259410,0.137498,-0.650689,500,-2511,63,19,500,-792,2031
3354348,24.7114,-595.32,73.4565,690,560,259310,0.0134335,0.116459,500,-2513,61,20,500,-791,2034
3354360,24.7321,-595.332,73.4568,720,520,259210,0.876779,-0.273062,500,-2517,59,22,500,-791,2036
3354367,24.6972,-595.337,73.4551,720,510,259100,-3.39776,2.09503,500,-2512,64,24,500,-789,2031
3354394,24.7218,-595.34,73.4386,720,610,258900,0.71821,-0.206767,500,-2516,60,27,500,-790,2035
3354400,24.7525,-595.347,73.4727,670,560,258800,1.02337,-0.235734,500,-2515,60,28,500,-791,2036
3354412,24.7596,-595.335,73.4579,640,580,258700,0.264771,-0.581897,500,-2521,58,30,500,-791,2037
3354424,24.6445,-595.293,73.3232,620,540,258590,-3.06808,1.53192,500,-2521,58,31,500,-789,2037
3354430,24.7516,-595.361,73.4411,620,590,258490,3.56991,-2.26137,500,-2527,51,32,500,-793,2043
3354441,24.7122,-595.344,73.4373,630,600,258390,0.30434,-0.444117,500,-2536,46,34,500,-791,2049
3354452,24.5958,-595.309,73.3295,580,570,258290,-4.45644,3.08362,500,-2553,37,36,500,-787,2058
3354463,24.7226,-595.327,73.447,530,590,258180,-1.54658,-0.0264547,500,-2564,29,38,500,-790,2066
3354474,24.696,-595.306,73.4393,480,610,258080,-0.0329606,-0.193221,500,-2565,28,40,500,-790,2067
