timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976848,243.011,-385.474,88.5245,-1.16699,0.930641,-0.565172,0.161551,0,0,800,0,101,-388.817,616.759,0
977096,242.999,-385.444,88.5623,-1.12249,1.38292,1.60049,0.16227,0,0,800,0,101,-388.834,616.755,0
977176,243.021,-385.483,88.5376,1.58302,-0.0686345,0.739761,0.16162,0,0,800,0,101,-388.834,616.773,0
977196,243.02,-385.473,88.5487,-0.5836,1.52008,-0.272104,0.162163,0,0,800,0,101,-388.832,616.757,0
977216,243.005,-385.505,88.5405,-1.46323,-2.22946,1.25803,0.161974,0,0,800,0,101,-388.808,616.808,0
977240,243.03,-385.464,88.5073,-0.804885,0.914488,-0.0939896,0.162225,0,0,800,0,101,-388.874,616.771,0
977260,243.016,-385.505,88.5457,-0.596808,-1.25204,-0.893081,0.162009,0,0,800,0,101,-388.844,616.768,0
977279,243.009,-385.475,88.5305,-1.01849,-0.335563,2.0602,0.162264,0,0,800,0,101,-388.814,616.761,0
977360,243.016,-385.479,88.5373,-1.22654,-0.891314,2.21789,0.161662,0,0,800,0,101,-388.826,616.767,0
977380,243.026,-385.479,88.5215,0.109731,0.0415215,0.422224,0.162156,0,0,800,0,101,-388.842,616.767,0
977400,243.018,-385.441,88.4859,-0.559256,1.49383,-1.55917,0.161561,0,0,800,0,101,-388.829,616.706,0
977420,243.035,-385.476,88.5036,-0.331631,-1.07107,0.263192,0.162106,0,0,800,0,101,-388.857,616.762,0
977444,243.052,-385.465,88.504,1.38143,-0.108494,-0.90431,0.162264,0,0,800,0,101,-388.839,616.741,0
977464,243.02,-385.48,88.5006,0.347628,-0.742411,-0.402168,0.161953,0,0,800,0,101,-388.822,616.744,0
977484,243.004,-385.433,88.5041,-0.404898,1.15681,-0.920944,0.161871,0,0,800,0,101,-388.823,616.738,0
977564,242.996,-385.458,88.5287,0.401138,0.990463,0.469188,0.162378,0,0,800,0,101,-388.793,616.733,0
977584,243.012,-385.488,88.5633,-0.647816,0.130538,0.61019,0.162125,0,0,800,0,101,-388.82,616.78,0
977604,243.014,-385.477,88.5188,-0.420658,0.430431,-0.248802,0.16211,0,0,800,0,101,-388.823,616.764,0
977624,243.052,-385.485,88.5198,0.880184,-0.308933,-1.25758,0.162078,0,0,800,0,101,-388.883,616.776,0
977648,243.021,-385.482,88.5281,0.913697,-0.0307194,-0.150807,0.162074,0,0,800,0,101,-388.805,616.77,0
977668,243.021,-385.488,88.5243,0.669682,0.530975,-1.086,0.161923,0,0,800,0,101,-388.812,616.798,0
977688,243.026,-385.506,88.5558,0.327805,-1.47623,1.65244,0.161929,0,0,800,0,101,-388.832,616.763,0
977748,243.026,-385.483,88.5095,1.003,-0.0210017,-1.30339,0.161976,0,0,800,0,101,-388.841,616.773,0
