timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152846,-367.832,-1010.43,67.6074,0.563442,-0.231568,1.12031,0.00275381,0,0,750,0,101,0,0,0
152856,-368.663,-1010.21,69.84,-45.3032,12.7274,129.949,-0.00126235,0,0,750,0,101,0,0,0
152866,-367.969,-1010.34,68.3391,7.89836,-2.43041,-11.2956,0.000366449,0,0,750,0,101,0,0,0
152876,-367.261,-1011.54,67.2317,-0.40944,-0.710588,-1.36747,0.0152642,0,0,750,0,101,0,0,0
152888,-367.269,-1011.53,67.2552,-1.17014,-0.0249957,1.68809,0.0153846,0,0,750,0,101,0,0,0
152894,-367.209,-1011.61,67.2583,5.07911,-8.45309,1.49147,0.0152672,0,0,750,0,101,0,0,0
152968,-367.223,-1011.55,67.2392,-1.01683,-0.584384,-2.16942,0.0156888,0,0,750,0,101,0,0,0
152978,-367.141,-1011.58,67.3574,7.45123,-2.3821,9.70564,0.0156894,0,0,750,0,101,0,0,0
152988,-367.755,-1010.44,67.6059,-2.06641,-0.516857,4.19647,0.00313148,0,0,750,0,101,0,0,0
153000,-367.769,-1010.44,67.597,-1.12539,-0.418243,-0.763234,0.00303605,0,0,750,0,101,0,0,0
153020,-367.119,-1011.57,67.3606,-0.904282,-0.720907,-4.37468,0.0165545,0,0,750,0,101,0,0,0
153070,-367.798,-1010.46,67.593,-58.595,110.991,34.9568,0.00316522,0,0,750,0,101,0,0,0
153080,-367.787,-1010.46,67.5695,-1.54165,-1.28063,0.381336,0.00318338,0,0,750,0,101,0,0,0
153090,-367.68,-1010.63,67.3067,9.63975,-17.7327,-28.013,0.00309147,0,0,750,0,101,0,0,0
153150,-367.208,-1011.62,67.2838,2.36231,-4.81587,4.64531,0.0158623,0,0,750,0,101,0,0,0
153172,-367.517,-1010.63,67.7467,28.1733,-16.2635,15.3699,0.00328617,0,0,750,0,101,0,0,0
153182,-367.775,-1010.47,67.5737,2.15849,1.0423,-1.75641,0.0034055,0,0,750,0,101,0,0,0
153192,-367.749,-1010.46,67.5774,5.83835,0.218542,0.914732,0.0031951,0,0,750,0,101,0,0,0
153204,-367.788,-1010.47,67.5812,2.17161,1.00567,0.187111,0.00600894,0,0,750,0,101,0,0,0
153264,-367.78,-1010.47,67.6032,-0.330494,-0.403568,1.73588,0.00594112,0,0,750,0,101,0,0,0
153274,-367.775,-1010.47,67.5589,3.19684,0.032454,-2.64897,0.00591109,0,0,750,0,101,0,0,0
153284,-367.806,-1010.51,67.5542,-0.619037,-1.93101,-0.881975,0.00532577,0,0,750,0,101,0,0,0
153296,-367.591,-1010.96,68.0004,-23.0525,-0.580581,21.6478,0.012001,0,0,750,0,101,0,0,0
153306,-367.551,-1010.89,68.0186,-7.9475,-2.21354,15.2372,0.0130209,0,0,750,0,101,0,0,0
153346,-367.395,-1010.86,67.8292,32.0684,-50.0167,34.6577,0.0131554,0,0,750,0,101,0,0,0
153366,-367.239,-1011.06,67.8259,25.1179,1.39407,23.5975,0.0138089,0,0,750,0,101,0,0,0
