timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,471.212,-1226.96,85.7553,-1.76959,-1.37224,-6.12687,-0.0276739,458,-1242,200,0,27270,-21.1385,-24.0701,0
57,471.26,-1226.92,85.8782,0.878976,-1.01694,-2.22198,-0.0272273,458,-1242,200,0,101,-21.2158,-24.1207,0
76,471.287,-1226.94,85.9721,4.12914,-2.43885,4.72345,-0.0277281,458,-1242,200,0,101,-21.2592,-24.0992,0
97,471.213,-1226.88,85.8196,0.530898,3.95262,3.12161,-0.0249496,458,-1242,200,0,101,-21.141,-24.1877,0
121,471.281,-1226.93,85.953,0.622142,-0.31425,0.578973,-0.0276208,458,-1242,200,0,101,-21.2293,-24.1154,0
141,471.243,-1226.92,85.9001,-1.39851,2.3689,0.407848,-0.0279533,458,-1242,200,0,101,-21.2329,-24.0553,0
161,471.274,-1226.93,85.9319,-1.06629,-0.664715,-2.44159,-0.0271848,458,-1242,200,0,101,-21.273,-24.1348,0
241,471.204,-1226.99,86.038,1.74553,0.553028,5.14519,-0.0283299,458,-1242,200,0,101,-21.1261,-24.0148,0
261,470.954,-1226.86,85.5727,-15.2787,-6.44944,4.87863,-0.0288159,458,-1242,200,0,101,-20.7258,-24.2275,0
425,0,0,0,0,0,0,0,458,-1242,200,0,101,732.8,-1320,0
464,471.421,-1226.42,85.3621,19.7643,-10.3765,8.39247,-0.0460104,458,-1242,200,0,101,-21.4742,-24.9279,0
485,471.399,-1226.51,86.1074,-12.2815,17.8955,-17.1216,-0.0438562,458,-1242,200,0,101,-21.4387,-24.7801,0
505,471.335,-1226.75,85.7387,-13.2642,1.51883,-11.818,-0.0401522,458,-1242,200,0,101,-21.3367,-24.4062,0
525,471.469,-1226.72,85.8642,1.24192,-0.584633,-0.475503,-0.0395783,458,-1242,200,0,101,-21.5506,-24.443,0
545,471.433,-1226.73,85.8916,2.36701,-0.682407,-1.35809,-0.0400751,458,-1242,200,0,101,-21.4924,-24.4352,0
569,471.297,-1226.69,85.7577,1.79025,1.37119,0.873939,-0.0396959,458,-1242,200,0,101,-21.2178,-24.4564,0
589,471.359,-1226.69,85.8511,-2.30257,0.630133,1.87663,-0.0413487,458,-1242,200,0,101,-21.4486,-24.4813,0
609,471.369,-1226.75,85.7565,-0.339334,-1.20161,0.050108,-0.0405347,458,-1242,200,0,101,-21.4014,-24.4418,0
688,471.457,-1226.73,85.8454,4.84293,-0.133288,7.57497,-0.039388,458,-1242,200,0,101,-21.5315,-24.4381,0
709,471.383,-1226.74,85.7453,0.97535,-1.13419,-0.274668,-0.0394712,458,-1242,200,0,101,-21.4134,-24.4113,0
729,471.443,-1226.68,85.891,5.6636,0.6475,5.52747,-0.0401653,458,-1242,200,0,101,-21.5096,-24.5092,0
749,471.443,-1226.71,85.8994,-0.0322316,-1.31502,0.295293,-0.0398009,458,-1242,200,0,101,-21.5084,-24.4703,0
769,471.378,-1226.71,85.8732,1.1051,-1.17163,1.05964,-0.0414205,458,-1242,200,0,101,-21.4045,-24.4613,0
