timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145457,233.304,-374.854,88.7633,0.257368,-0.332806,1.53118,0.780072,0,0,800,0,101,-373.287,599.766,0
1145698,233.299,-374.856,88.6595,0.593972,1.06138,-1.19189,0.780124,0,0,800,0,101,-373.279,599.769,0
1145718,233.336,-374.88,88.6213,-1.74571,0.250933,1.92882,0.779964,0,0,800,0,101,-373.338,599.809,0
1145738,233.248,-374.922,88.5703,2.0842,1.0942,-1.7646,0.78142,0,0,800,0,101,-373.196,599.875,0
1145758,233.199,-374.939,88.6021,-2.48403,-1.37294,-0.43566,0.781292,0,0,800,0,101,-373.118,599.902,0
1145782,233.252,-374.967,88.543,1.87118,-1.69461,0.00236542,0.781451,0,0,800,0,101,-373.143,599.893,0
1145802,233.217,-374.956,88.5106,-2.2233,0.884889,1.27748,0.781293,0,0,800,0,101,-373.219,599.958,0
1145822,233.23,-374.971,88.5392,0.439403,2.12513,2.74413,0.780024,0,0,800,0,101,-373.153,600.022,0
1145902,233.17,-374.891,88.509,0.290437,1.57677,2.895,0.77948,0,0,800,0,101,-373.072,599.825,0
1145922,233.119,-374.892,88.5015,1.14015,0.360257,-0.701202,0.779761,0,0,800,0,101,-372.99,599.827,0
1145942,233.105,-374.912,88.5227,-0.450659,0.226149,-0.300858,0.779848,0,0,800,0,101,-372.969,599.859,0
1145966,233.136,-374.959,88.516,1.97026,-2.39636,0.203047,0.779494,0,0,800,0,101,-372.955,599.858,0
1145986,233.14,-374.938,88.5492,-0.556624,-0.299801,2.38567,0.779358,0,0,800,0,101,-373.042,599.891,0
1146006,233.144,-374.94,88.5474,-1.22151,-0.676248,1.18443,0.779309,0,0,800,0,101,-373.07,599.882,0
1146086,233.199,-374.976,88.548,-1.7264,0.258486,0.751837,0.779699,0,0,800,0,101,-373.119,599.961,0
1146106,233.209,-374.979,88.4987,0.682195,0.0531386,-1.35793,0.77988,0,0,800,0,101,-373.134,599.967,0
1146126,233.198,-374.979,88.5292,0.673484,-0.576721,-0.517933,0.779189,0,0,800,0,101,-373.117,599.966,0
1146146,233.183,-374.931,88.4908,1.03976,-0.137615,-3.27035,0.779328,0,0,800,0,101,-373.093,599.89,0
1146170,233.157,-374.929,88.5424,0.408549,-1.83576,-1.98863,0.779413,0,0,800,0,101,-373.038,599.828,0
1146190,233.153,-374.928,88.566,0.734217,-2.22028,-1.62303,0.779343,0,0,800,0,101,-373.021,599.814,0
1146210,233.141,-374.882,88.5663,-0.905413,1.2237,0.942759,0.779415,0,0,800,0,101,-373.054,599.85,0
1146290,233.15,-374.923,88.5513,0.401837,-0.559728,-0.0111414,0.77945,0,0,800,0,101,-373.039,599.877,0
1146310,233.145,-374.962,88.5675,-1.42867,-0.426631,0.841166,0.779887,0,0,800,0,101,-373.033,599.939,0
1146330,233.17,-374.94,88.5327,1.36806,-0.47207,0.57691,0.779288,0,0,800,0,101,-373.072,599.904,0
1146354,233.156,-374.917,88.5991,0.33789,0.153418,2.39029,0.778893,0,0,800,0,101,-373.038,599.872,0
1146374,233.235,-374.989,88.5421,0.855784,0.285377,0.381295,0.779725,0,0,800,0,101,-373.148,599.992,0
1146394,233.169,-374.932,88.5679,-0.097505,3.0203,1.79293,0.779622,0,0,800,0,101,-373.073,599.987,0
1146414,233.134,-374.894,88.5528,-0.0771481,-0.190515,-1.92963,0.779546,0,0,800,0,101,-373.017,599.824,0
1146474,233.129,-374.952,88.5319,-0.137404,0.574637,-0.291898,0.779686,0,0,800,0,101,-373.007,599.923,0
1146494,233.136,-374.962,88.5273,-0.817258,0.125805,1.03702,0.779544,0,0,800,0,101,-373.018,599.939,0
1146514,233.155,-374.932,88.5565,0.604695,0.770385,3.39737,0.778799,0,0,800,0,101,-373.048,599.891,0
1146534,233.133,-374.933,88.5023,-0.34958,0.65441,-1.97729,0.779466,0,0,800,0,101,-373.012,599.893,0
1146558,233.159,-374.97,88.5086,0.711237,-1.23283,0.952586,0.779168,0,0,800,0,101,-373.032,599.913,0
1146578,233.142,-374.951,88.5251,-0.0931835,-0.536252,2.85771,0.779332,0,0,800,0,101,-373.03,599.904,0
1146598,233.144,-374.951,88.5301,1.01309,-0.231237,-0.0156627,0.779239,0,0,800,0,101,-372.999,599.915,0
1146678,233.114,-374.958,88.4989,-0.392735,-0.0115847,-1.06375,0.779222,0,0,800,0,202,-372.983,599.933,0
1146698,233.137,-374.955,88.5185,1.70317,0.0928549,0.197625,0.779183,0,0,800,0,101,-373.019,599.927,0
1146698,233.137,-374.955,88.5185,1.70317,0.0928549,0.197625,0.779183,0,0,800,0,101,-373.019,599.927,0
1146738,233.144,-374.984,88.501,-0.700781,-0.507204,1.13496,0.77938,0,0,800,0,202,-373.03,599.975,0
1146762,233.145,-374.963,88.5142,0.0948539,0.0279685,1.49553,0.779268,0,0,800,0,101,-373.029,599.942,0
1146782,233.129,-374.956,88.5059,-1.5757,1.74816,0.794325,0.779285,0,0,800,0,101,-373.058,599.985,0
1146802,233.114,-374.953,88.4959,-0.554488,0.569269,-0.618277,0.779447,0,0,800,0,101,-373,599.944,0
1146862,233.154,-374.966,88.4895,0.558682,0.20916,-0.994148,0.779403,0,0,800,0,101,-373.046,599.946,0
1146882,233.131,-374.955,88.4894,0.398662,-0.383129,-1.02641,0.778158,0,0,800,0,101,-373.009,599.928,0
1146902,233.139,-374.958,88.5122,1.691,-0.408949,-0.413995,0.77938,0,0,800,0,101,-373.023,599.932,0
1146922,233.119,-374.953,88.4962,-1.47771,0.320816,-1.11057,0.779328,0,0,800,0,101,-372.991,599.924,0
1146946,233.107,-374.956,88.5043,-0.806893,1.22964,0.668892,0.77917,0,0,800,0,101,-372.997,599.97,0
1146966,233.12,-374.97,88.5151,-1.48373,-0.219124,1.92436,0.779026,0,0,800,0,101,-373.039,599.945,0
1146986,233.149,-374.991,88.5154,1.01714,-0.204669,0.325654,0.779215,0,0,800,0,101,-373.007,599.978,0
1147066,233.151,-374.903,88.556,1.47837,1.64882,2.32658,0.778903,-119.809,891.99,800,0,101,-559.13,1320,0
1147086,233.133,-374.936,88.5505,0.377036,0.59092,0.195287,0.77875,-154.736,886.598,800,0,101,-615.019,1320,0
1147106,233.116,-374.933,88.5758,-0.237056,-1.06782,0.345459,0.778557,-189.425,879.84,800,0,101,-670.534,1320,0
1147126,233.13,-374.965,88.5279,-0.832376,-0.438025,0.174562,0.779398,-223.821,871.725,800,0,101,-725.641,1320,0
1147150,233.151,-374.955,88.5151,0.321767,-0.140092,0.497712,0.779148,-257.872,862.266,800,0,101,-780.206,1320,0
1147170,233.145,-374.955,88.5109,0.833685,0.959459,0.188855,0.779794,-291.526,851.477,800,0,101,-834.093,1320,0
1147190,233.133,-374.951,88.4699,-0.410957,0.229097,-1.44968,0.779333,-324.73,839.375,800,0,101,-887.315,1320,0
1147270,233.143,-374.979,88.469,0.0509967,-0.420431,-0.846106,0.779383,-455.092,776.461,800,0,101,-1096.29,1320,0
1147290,233.177,-374.945,88.4766,1.39717,0.952154,-1.91305,0.779526,-485.224,757.996,800,0,101,-1144.67,1320,0
1147310,233.176,-374.945,88.4735,-0.43155,-0.000833037,-2.02848,0.77945,-514.609,738.361,800,0,101,-1191.81,1320,0
1147334,233.14,-374.94,88.4836,0.557825,-0.201292,-0.911882,0.779352,-543.2,717.589,800,0,101,-1237.61,1320,0
1147354,233.162,-374.983,88.5199,1.58746,-1.53203,2.33091,0.779238,-570.954,695.709,800,0,101,-1282.16,1320,0
