timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10,1170,251750,0,0,-250,-1020,-32,0,0,0,2100
555686,20.5621,11.6883,74.4143,-10,1090,251750,-0.784033,1.03155,-170,-1032,-37,2,-18.7013,17,2100
555692,20.5906,11.7353,74.4001,-20,1220,251760,0.951369,1.56432,-280,-1040,-40,3,-18.7764,19,2100
555703,20.5872,11.6252,74.4237,0,1190,251800,-0.759555,-1.59101,-150,-1055,-45,5,-18.6003,17,2100
555727,20.5958,11.5523,74.4579,80,1210,251760,-0.421695,-2.60229,-260,-1066,-46,8,-18.4837,18,2100
555738,20.609,11.5301,74.4839,100,1240,251760,-0.133226,-3.15118,-240,-1069,-45,10,-18.5742,19,2100
555748,20.6326,11.5635,74.4657,130,1260,251680,1.79059,0.495609,-220,-1071,-45,12,-18.4817,17,2100
555754,20.5522,11.4865,74.5129,150,1280,251690,-2.68087,-2.56551,-180,-1088,-50,13,-18.3784,15,2100
555765,20.5998,11.5088,74.4666,180,1290,251620,0.531466,-0.475952,-190,-1093,-49,15,-18.4141,18,2100
555788,20.6445,11.5181,74.4627,250,1300,251540,0.665269,-1.08881,-240,-1110,-53,18,-18.429,19,2100
555808,20.6227,11.6119,74.4587,300,1270,251580,-0.574933,1.69609,-260,-1131,-57,20,-18.5791,18,2100
555814,20.6354,11.612,74.4585,340,1210,251680,0.424559,0.00320741,-160,-1130,-55,21,-18.5793,19,2100
555825,20.6538,11.6717,74.3925,380,1140,251780,-0.110944,1.0165,-130,-1116,-45,23,-18.6747,18,2100
555836,20.6606,11.6512,74.3986,440,1080,251830,-0.613588,-0.318387,-160,-1112,-40,25,-18.6418,18,2100
555848,20.6695,11.6935,74.3768,470,1060,251870,-0.252831,1.52005,-140,-1108,-36,27,-18.7096,18,2100
555859,20.6778,11.6935,74.412,520,1000,251890,-0.597748,0.442781,-160,-1114,-38,29,-18.7096,18,2100
555865,20.6673,11.6712,74.4098,540,990,251990,-0.348928,-0.743461,-170,-1113,-36,30,-18.6739,18,2100
555877,20.6612,11.6931,74.4105,520,930,252050,0.263984,-0.371925,-150,-1117,-37,32,-18.7089,18,2100
555889,20.6833,11.7301,74.3914,570,890,252140,0.954218,0.482613,-160,-1117,-34,34,-18.7682,19,2100
555901,20.6501,11.7336,74.4222,600,860,252140,-0.648069,-0.927769,-120,-1109,-28,36,-18.7738,18,2100
555907,20.6456,11.7436,74.3838,620,850,252140,-0.1485,0.334292,-130,-1098,-19,37,-18.7898,18,2100
555918,20.6345,11.7309,74.4175,620,860,252140,-0.502762,-0.0913367,-130,-1082,-10,39,-18.7694,18,2100
555929,20.6722,11.7536,74.3748,670,860,252170,0.276747,1.27629,-160,-1081,-7,41,-18.8058,19,2100
555950,20.6177,11.7643,74.3816,680,820,251610,-1.49963,1.26461,-120,-90,-64,44,-18.8229,17,2100
555962,20.7802,11.4234,74.447,690,840,253650,4.25823,-12.2512,-90,-92,-83,46,-18.8655,20,2100
555968,20.5189,11.5682,74.1333,690,690,255340,-8.71235,4.8242,-110,-88,-98,47,-18.5091,9,2100
555979,20.5458,12.0033,74.5605,710,690,255260,-1.75456,5.0453,-120,-61,-103,49,-19.2053,17,2100
555990,21.0007,12.2496,74.6333,720,660,255170,12.5963,-5.71035,-150,-71,-129,51,-19.5993,32,2100
