timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-37140,-23300,98960,0,0,5330,-1344,-531,0,0,0,2100
333937,401.116,-2306.57,915.253,-39270,-16040,90670,0.240234,-1.38144,4470,-1363,-469,1,440,-400,2100
333959,366.892,-2278.3,907.62,-39240,-21220,79250,-287.681,469.234,3530,-1372,-303,4,440,-400,2100
333965,357.854,-2263.43,913.511,-35240,-27100,75430,-301.257,495.627,4030,-1381,-218,5,440,-400,2007.19
333976,330.933,-2233.92,933.653,-31090,-29410,75030,-552.125,528.326,5230,-1373,-199,7,440,-400,1967.08
333987,302.524,-2200.39,961.144,-31020,-27140,77870,-476.24,665.019,5160,-1364,-303,9,440,-400,2042.08
333997,292.586,-2154.16,980.666,-34460,-16950,81990,-109.841,1024.73,3450,-1356,-492,11,440,-400,2100
334020,361.169,-2004.92,965.023,-46630,8990,95810,1072.55,1358.66,670,-1382,-690,14,440,400,2100
334026,403.129,-1961.17,954.497,-52580,2150,116560,1398.65,1458.23,-400,-1406,-607,15,440,400,2100
334029,427.629,-1938.82,949.053,-56520,-18010,146910,1633.36,1489.95,-910,-1430,-405,16,440,400,2100
334029,427.629,-1938.82,949.053,-53920,-33100,175050,1633.36,1489.95,260,-1457,-132,16,440,400,1921.76
334029,427.629,-1938.82,949.053,-47810,-36700,195640,1633.36,1489.95,1680,-1454,13,16,440,400,1744.38
334029,427.629,-1938.82,949.053,-44760,-29810,214430,1633.36,1489.95,1550,-1438,-51,16,440,400,1790.83
334029,427.629,-1938.82,949.053,-39410,-21770,227940,1633.36,1489.95,-880,-1398,-304,16,440,400,2059.1
334029,427.629,-1938.82,949.053,-36830,-22860,236480,1633.36,1489.95,480,-1353,-561,16,440,400,2100
334103,863.723,-1884.42,1113.07,-38450,-22880,242310,1091.46,-8.39947,1050,-1360,-776,18,440,400,2100
334109,850.09,-1898.83,1099.48,-42040,-14840,240970,-454.424,-480.274,1050,-1382,-863,19,440,-400,2100
334120,815.39,-1917.98,1066.76,-45340,-9140,237950,-687.15,-315.705,400,-1388,-784,21,440,-400,2100
334130,775.331,-1930.03,1039.64,-47630,-8640,235100,-822.504,-209.814,1040,-1404,-687,23,440,-400,2100
334153,701.002,-1923.64,998.212,-48760,-7750,232520,-490.546,267.433,540,-1455,-546,26,440,-400,2100
334164,678.889,-1899.02,992.145,-47590,-7890,230080,-382.76,491.346,940,-1451,-425,28,440,-400,2100
334169,670.129,-1885.46,993.434,-46130,-6550,227580,-350.4,542.261,1410,-1448,-346,29,440,-400,2074.25
334180,652.822,-1855.02,1003.41,-44290,-2930,224900,-300.179,537.382,1390,-1424,-293,31,440,-400,2005.27
334204,631.881,-1819.76,1030.74,-41020,-3800,225720,-84.0014,116.449,540,-1359,-403,34,440,-400,2093.4
334215,627.783,-1820.86,1025.57,-42230,-8630,228710,-100.471,-52.1055,0,-1350,-502,36,440,-400,2100
334221,622.895,-1821.91,1017.38,-42610,-8980,229390,-162.932,-35.2899,-160,-1363,-518,37,440,-400,2100
334232,606.017,-1816.26,999.667,-43430,-5330,227620,-371.629,164.624,-530,-1374,-540,39,440,-400,2100
334244,579.623,-1793.21,974.691,-44810,-4510,226300,-474.335,465.273,-780,-1380,-563,41,440,-400,2100
334255,548.078,-1755.83,947.027,-45570,-5940,225400,-628.168,723.681,-310,-1387,-536,43,440,-400,2100
334266,509.789,-1707.49,918.23,-47090,-3810,223530,-720.099,916.225,200,-1404,-511,45,440,-400,2100
334272,486.448,-1678.91,903.044,-48050,2960,219900,-778.024,952.374,130,-1416,-455,46,440,-400,2100
334282,446.213,-1629.91,881.569,-48260,8400,218510,-797.429,987.245,-230,-1422,-364,48,440,-400,2100
334294,400.48,-1579.76,865.487,-49090,9580,216680,-741.355,772.424,150,-1432,-324,50,440,-400,2100
334316,341.079,-1531.33,847.578,-54410,8080,221980,-388.636,263.778,10,-1457,-315,53,440,-400,2100
334327,326.448,-1524.37,837.453,-57380,4830,228820,-246.272,72.5402,-280,-1486,-318,55,440,-400,2100
334332,320.998,-1525.21,831.638,-58620,-4050,243780,-218.005,-33.8958,-720,-1504,-335,56,440,-400,2100
334343,304.943,-1530.24,817.156,-60980,-9430,258170,-339.623,-109.693,-590,-1524,-278,58,440,-400,2100
334354,276.47,-1533.5,807.156,-63520,-3650,265610,-572.36,-21.657,-1030,-1539,-163,60,440,-400,2036.27
