timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070633,242.984,-385.307,88.5175,0.258839,-1.09447,-0.762431,0.161994,0,0,800,0,101,-388.775,616.491,0
1070931,242.949,-385.328,88.5747,0.228866,-0.31363,0.254271,0.162037,0,0,800,0,101,-388.719,616.524,0
1070951,242.943,-385.345,88.5862,0.0379729,-1.14951,0.591748,0.161918,0,0,800,0,101,-388.709,616.553,0
1070971,242.945,-385.322,88.5598,-1.8518,-0.00713713,-0.147307,0.16212,0,0,800,0,101,-388.712,616.516,0
1070995,242.951,-385.318,88.556,-1.85813,-0.569983,-0.271073,0.161749,0,0,800,0,101,-388.782,616.491,0
1071015,242.933,-385.299,88.5262,-1.10316,2.6328,-4.34615,0.161935,0,0,800,0,101,-388.693,616.478,0
1071035,242.957,-385.324,88.5993,-0.302193,0.30859,0.501287,0.162131,0,0,800,0,101,-388.73,616.518,0
1071115,242.985,-385.277,88.5206,1.52323,0.798229,-2.8772,0.162118,0,0,800,0,101,-388.775,616.443,0
1071135,243.008,-385.304,88.6029,-0.190518,-0.0163808,-0.175303,0.161302,0,0,800,0,101,-388.813,616.487,0
1071155,242.948,-385.29,88.5608,-1.1355,0.762162,0.252001,0.161296,0,0,800,0,101,-388.717,616.464,0
1071175,243.012,-385.277,88.5672,1.04201,0.944221,-1.10703,0.161255,0,0,800,0,101,-388.82,616.443,0
1071199,243.001,-385.314,88.5555,-0.12447,-1.59398,-0.870912,0.161343,0,0,800,0,101,-388.805,616.452,0
1071219,242.995,-385.314,88.5675,0.707961,-1.0357,-0.231947,0.162099,0,0,800,0,101,-388.792,616.503,0
1071299,242.992,-385.308,88.571,-0.232246,0.470041,-2.3461,0.161262,0,0,800,0,101,-388.787,616.493,0
1071319,243.006,-385.307,88.5996,1.45847,-0.348693,-0.869465,0.161393,0,0,800,0,101,-388.809,616.492,0
1071339,243.01,-385.351,88.5654,-0.513839,-2.26547,-1.18726,0.16132,0,0,800,0,101,-388.816,616.561,0
1071359,242.967,-385.324,88.5782,0.666132,-0.534385,1.96938,0.162044,0,0,800,0,101,-388.747,616.519,0
1071383,242.949,-385.289,88.546,-3.49386,1.93251,-2.51963,0.161179,0,0,800,0,101,-388.831,616.525,0
1071403,242.966,-385.303,88.56,-0.227123,0.751107,-0.516482,0.16223,0,0,800,0,101,-388.753,616.509,0
1071423,242.985,-385.32,88.5823,0.534962,-0.939077,0.370049,0.161889,0,0,800,0,101,-388.776,616.512,0
1071503,242.972,-385.328,88.5453,0.312205,-1.61015,-0.971587,0.162594,0,0,800,0,101,-388.755,616.524,0
1071523,242.965,-385.335,88.5931,-0.530843,-0.451064,-1.83324,0.162013,0,0,800,0,101,-388.744,616.536,0
1071543,242.966,-385.307,88.5522,-0.670779,1.187,-1.07986,0.162107,0,0,800,0,101,-388.746,616.491,0
1071567,242.989,-385.33,88.585,0.328767,-0.435559,2.25609,0.162076,0,0,800,0,101,-388.773,616.515,0
1071587,243.021,-385.339,88.5961,0.943999,-0.682828,0.572349,0.161436,0,0,800,0,101,-388.804,616.521,0
1071607,242.99,-385.308,88.5591,0.878362,0.601075,-1.25457,0.161407,0,0,800,0,101,-388.756,616.512,0
1071687,242.99,-385.297,88.5804,0.0518563,1.52021,-0.155633,0.161627,0,0,800,0,101,-388.785,616.475,0
1071707,243.022,-385.343,88.5558,1.15448,-0.200327,-1.28449,0.162035,0,0,800,0,101,-388.835,616.549,0
1071727,242.99,-385.344,88.585,-0.805358,-1.22828,-1.01739,0.161568,0,0,800,0,101,-388.785,616.551,0
1071747,242.997,-385.341,88.6036,2.28984,-2.00629,2.90809,0.161436,0,0,800,0,101,-388.795,616.546,0
1071771,242.981,-385.324,88.5769,1.36484,-0.900631,1.82628,0.161993,0,0,800,0,101,-388.726,616.49,0
1071791,242.991,-385.352,88.5952,-0.672781,-1.07705,-0.11508,0.161608,0,0,800,0,101,-388.808,616.529,0
1071811,242.982,-385.332,88.5676,-2.05036,0.895269,0.445292,0.161703,0,0,800,0,101,-388.837,616.559,0
1071891,242.972,-385.327,88.553,-0.246179,0.581556,-0.215572,0.161877,0,0,800,0,101,-388.755,616.523,0
1071911,242.992,-385.335,88.5565,0.722225,-0.158834,-0.169105,0.161784,0,0,800,0,101,-388.788,616.536,0
1071931,243.016,-385.365,88.5513,1.0962,-0.719794,-0.656883,0.161983,0,0,800,0,101,-388.825,616.584,0
1071955,243.006,-385.36,88.5718,0.924893,-0.497457,-0.00585707,0.162092,0,0,800,0,101,-388.779,616.56,0
1071975,242.981,-385.338,88.5379,-0.334727,-0.505715,-0.0387842,0.161805,0,0,800,0,101,-388.78,616.525,0
1071995,242.986,-385.324,88.5535,-0.153418,-0.225139,0.160048,0.161943,0,0,800,0,101,-388.782,616.511,0
1072015,242.997,-385.355,88.5407,0.83729,-0.185336,-0.819647,0.162117,0,0,800,0,101,-388.768,616.562,0
1072015,242.997,-385.355,88.5407,0.83729,-0.185336,-0.819647,0.162117,0,0,800,0,101,-388.768,616.562,0
1072115,243.002,-385.34,88.5279,0.215227,-1.18505,0.0396581,0.161774,0,0,800,0,202,-388.804,616.543,0
1072135,243.004,-385.374,88.5723,-1.07012,0.0359332,0.552056,0.162096,0,0,800,0,101,-388.806,616.598,0
1072159,242.994,-385.34,88.5314,-0.665826,2.79088,-1.91556,0.161691,0,0,800,0,101,-388.812,616.633,0
1072179,242.989,-385.357,88.5694,0.319633,0.597409,-0.0523522,0.16186,0,0,800,0,101,-388.772,616.59,0
1072199,242.981,-385.351,88.5891,-0.699973,0.285399,2.51463,0.162114,0,0,800,0,101,-388.791,616.57,0
1072279,242.982,-385.376,88.5757,-1.20944,0.446377,0.691899,0.161903,0,0,800,0,101,-388.772,616.601,0
1072299,242.967,-385.35,88.5633,-0.574013,0.311649,0.353985,0.162098,0,0,800,0,101,-388.748,616.561,0
1072319,242.997,-385.383,88.5538,-0.926341,-0.243764,-1.45712,0.162366,0,0,800,0,101,-388.795,616.613,0
1072339,242.999,-385.359,88.5704,1.41991,-0.414478,-0.373886,0.162038,0,0,800,0,101,-388.798,616.575,0
1072363,242.993,-385.341,88.5592,-0.447576,1.01629,-1.17787,0.162336,0,0,800,0,101,-388.804,616.579,0
1072383,242.988,-385.349,88.5539,1.11029,-0.336017,0.00798242,0.161956,-10.6027,899.938,800,0,101,-400.055,1320,0
1072463,242.971,-385.353,88.5499,-0.763368,0.137237,1.13926,0.161789,-154.736,886.598,800,0,101,-630.759,1320,0
1072483,242.975,-385.336,88.5648,-0.354918,2.40887,-1.1496,0.16184,-189.425,879.84,800,0,101,-686.31,1320,0
1072503,242.99,-385.359,88.554,-0.508578,-1.8906,-0.190215,0.161665,-223.821,871.725,800,0,101,-741.417,1320,0
1072523,242.995,-385.35,88.6027,0.412285,0.128674,0.630917,0.161549,-257.872,862.266,800,0,101,-795.967,1320,0
1072547,243.001,-385.356,88.5805,0.435606,-0.414788,0.979801,0.161446,-291.526,851.477,800,0,101,-849.875,1320,0
1072567,243.023,-385.342,88.5748,0.775618,-0.149623,-0.638322,0.161644,-324.73,839.375,800,0,101,-903.101,1320,0
1072587,242.976,-385.357,88.5967,-0.00540621,-0.261285,-1.16916,0.161654,-357.433,825.979,800,0,101,-955.46,1320,0
1072667,242.987,-385.35,88.589,-0.760026,0.622223,0.646931,0.1619,-485.224,757.996,800,0,101,-1160.37,1320,0
1072687,243.003,-385.352,88.5337,1.34855,-1.22608,-1.55953,0.16174,-514.609,738.361,800,0,101,-1207.53,1320,0
1072707,242.966,-385.365,88.5441,-1.23356,-1.20845,-0.55081,0.161982,-543.2,717.589,800,0,101,-1253.35,1320,0
1072731,243.012,-385.337,88.5378,-0.483643,0.428383,0.649533,0.162144,-570.954,695.709,800,0,101,-1297.98,1320,0
