timestamp,x,y,z,vx,vy,vz,yaw,sp_x,sp_y,sp_z,sp_flag,debug_1,debug_2,debug_3,debug_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235861,230.941,-377.714,88.6669,0.0305021,-0.44128,1.07846,0.745014,-427.362,792.062,800,0,101,-1048.33,1320,0
1286487,230.6,-377.816,88.6218,-0.397789,-2.06591,-1.57185,0.74564,-458.133,774.67,800,0,101,-1097.09,1320,0
1286511,230.586,-377.775,88.706,0.062223,-0.07566,1.76045,0.745705,-488.198,756.084,800,0,101,-1145.28,1320,0
1286531,230.605,-377.794,88.6561,0.0635188,0.61932,-0.264671,0.745782,-517.51,736.331,800,0,101,-1192.34,1320,0
1286551,230.521,-377.636,88.5897,-0.329284,0.596307,-1.79299,0.747763,-546.024,715.443,800,0,101,-1237.97,1320,0
1286631,230.57,-377.78,88.7361,-0.896796,1.77869,3.39586,0.746147,-651.217,621.221,800,0,101,-1320,1320,0
1286651,230.574,-377.789,88.737,0.33257,-0.43017,2.23366,0.74646,-677.428,592.53,800,0,101,-1320,1320,0
1286675,230.646,-377.889,88.5992,4.4007,-12.1233,0.807068,0.74662,-700.172,565.473,800,0,101,-1320,1320,0
1286695,230.55,-377.567,88.6027,3.75072,-0.228466,-4.8612,0.745965,-721.836,537.544,800,0,101,-1320,1320,0
1286715,230.582,-377.808,88.655,0.398727,-0.919852,-2.33302,0.74602,-742.386,508.786,800,0,101,-1320,1320,0
1286795,230.507,-377.554,88.5724,0.648391,0.463899,-4.34223,0.748594,-812.836,386.391,800,0,101,-1320,1227.43,0
1286815,230.594,-377.804,88.6228,3.56572,-0.879332,-4.21494,0.745476,-827.381,354.177,800,0,101,-1320,1176.38,0
1286835,230.51,-377.803,88.7071,-0.265726,-0.4795,-1.01544,0.745777,-840.64,321.441,800,0,101,-1320,1124.04,0
1286859,230.52,-377.802,88.8095,-0.673135,0.643183,5.95568,0.746107,-853.741,284.826,800,0,101,-1320,1065.58,0
1286879,230.518,-377.747,88.6207,-3.6413,2.51884,-0.0145734,0.745606,-864.267,251.083,800,0,101,-1320,1011.57,0
1286959,230.433,-377.673,88.6651,-2.9212,0.914354,-0.157305,0.747789,-892.904,112.796,800,0,101,-1320,790.374,0
1286979,230.528,-377.681,88.6101,0.842468,-2.5495,-1.73115,0.747206,-896.644,77.6482,800,0,101,-1320,734.173,0
1286999,230.607,-377.76,88.6635,2.4037,-0.658349,2.34905,0.746771,-899,42.4081,800,0,101,-1320,677.888,0
1287019,230.452,-377.57,88.6131,-2.60958,6.58368,1.35353,0.748383,-899.972,7.07519,800,0,101,-1320,621.057,0
1287103,230.46,-377.614,88.6039,-4.41359,6.71772,-1.75932,0.745272,-889.466,-137.296,800,0,101,-1320,390.112,0
1287123,230.576,-377.808,88.6153,0.607405,-0.513132,-0.593665,0.745691,-883.389,-172.116,800,0,101,-1320,334.673,0
1287143,230.53,-377.826,88.6506,-1.08764,-0.901769,-0.869231,0.745681,-875.949,-206.671,800,0,101,-1320,279.368,0
1287166,230.521,-377.818,88.6577,1.94651,-8.82562,3.25813,0.746386,-867.166,-240.88,800,0,101,-1320,224.241,0
1287183,230.547,-377.828,88.6848,-1.65456,0.4507,3.7556,0.746219,-857.039,-274.744,800,0,101,-1320,170.294,0
1287207,230.588,-377.795,88.6817,-0.954047,0.750287,1.96795,0.745935,-845.59,-308.185,800,0,101,-1320,116.731,0
1287226,230.585,-377.796,88.6403,1.7269,1.00268,-1.42465,0.745777,-832.836,-341.15,800,0,101,-1320,63.907,0
1287267,230.513,-377.589,88.6745,0.0241605,10.0844,-3.98702,0.748614,-801.908,-408.588,800,0,101,-1320,-44.541,0
1287287,230.568,-377.626,88.6325,1.68318,-1.27803,-2.46344,0.748461,-785.246,-439.76,800,0,101,-1320,-94.4637,0
1287307,230.528,-377.743,88.6975,-0.137188,2.05304,-0.122292,0.747054,-767.373,-470.255,800,0,101,-1320,-143.179,0
1287330,230.596,-377.794,88.6993,4.98358,-13.7698,0.754162,0.7457,-748.316,-500.024,800,0,101,-1320,-191.177,0
1287350,230.494,-377.687,88.6169,-1.97472,-1.13489,1.73958,0.747708,-728.121,-528.999,800,0,101,-1320,-237.57,0
1287371,230.568,-377.674,88.6036,2.22409,-3.43547,-1.57573,0.747364,-706.788,-557.182,800,0,101,-1320,-282.863,0
1287391,230.503,-377.594,88.5969,-4.40179,10.2177,-4.47633,0.748725,-684.364,-584.505,800,0,101,-1320,-326.412,0
1287411,230.592,-377.778,88.6971,-0.214809,1.63192,1.83998,0.745649,-660.885,-610.926,800,0,101,-1320,-368.802,0
1287470,230.497,-377.594,88.6123,-2.0434,0.721092,-2.45538,0.746186,-581.807,-686.659,800,0,101,-1304,-490.831,0
1287491,230.496,-377.573,88.6535,-0.774846,3.98533,4.536,0.747622,-554.396,-708.975,800,0,101,-1260.29,-526.741,0
1287511,230.6,-377.829,88.6477,4.03852,-8.42924,0.28161,0.745999,-526.152,-730.181,800,0,101,-1215.36,-560.465,0
1287511,230.6,-377.829,88.6477,4.03852,-8.42924,0.28161,0.745999,-526.152,-730.181,800,0,101,-1215.36,-560.465,0
1287554,230.571,-377.732,88.7086,0.810702,1.08455,2.34236,0.747007,-467.231,-769.217,800,0,202,-1121.32,-623.424,0
1287575,230.64,-377.849,88.6226,3.26785,-3.40738,-2.09458,0.746535,-436.667,-786.97,800,0,101,-1072.54,-651.943,0
1287595,230.488,-377.63,88.6833,-0.266538,-2.81859,0.258365,0.748904,-405.429,-803.509,800,0,101,-1022.52,-678.844,0
1287635,230.62,-377.86,88.6488,5.12824,-10.2169,0.533189,0.748657,-341.152,-832.836,800,0,101,-920.076,-725.803,0
1287654,230.608,-377.814,88.6249,4.78663,-4.93571,-9.49333,0.746487,-308.186,-845.589,800,0,101,-867.393,-746.489,0
1287675,230.598,-377.803,88.703,-1.06625,0.483193,0.34172,0.745773,-271.396,-858.105,800,0,101,-808.55,-766.776,0
1287699,230.569,-377.828,88.7524,3.60141,-9.61039,3.77295,0.74561,-237.492,-868.1,800,0,101,-754.176,-783.325,0
1287799,230.491,-377.589,88.644,-0.563643,-0.0515199,-0.361014,0.749119,-63.5704,-897.752,800,0,101,-476.108,-831.853,0
1287819,230.513,-377.613,88.6434,0.0441217,-1.61084,-0.817951,0.748737,-28.2702,-899.556,800,0,101,-419.72,-834.919,0
1287839,230.576,-377.737,88.7059,0.880169,-2.69677,3.91625,0.746747,7.07357,-899.972,800,0,101,-363.272,-835.61,0
1287858,230.578,-377.832,88.6095,2.18419,-8.27981,1.78549,0.745896,42.4065,-899,800,0,101,-306.737,-834.125,0
1287883,230.501,-377.616,88.6991,-2.92454,3.73229,6.22857,0.747772,81.1758,-896.332,800,0,101,-244.567,-830.445,0
